peak-aif,Scan Nr,retention,Mass(uD),retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,clusterId1,membership1
7816,3384,18714500,301180237,18694195,12340,14766,4683.63,21499,4902.99,17350,4677.42,17119,4784.47,14258,13059,4962.79,11873,15261,4928.7,15081,13578,5206.04,18740,10404,16161,10530,5083.73,5343.92,5411.62,4627.56,,
7817,3384,18714500,509239044,18703002,125199,114693,132130,114593,117753,103144,140837,106763,98783,107959,102663,168771,99350,164214,187150,149443,114420,155338,132972,124554,146111,102172,5271.73,4802.77,4648.32,121496,,
7818,3385,18720646,323075470,18598706,33572,32945,37354,36109,21322,34163,32780,39926,16055,19001,33956,29394,30093,24829,47575,30300,44272,42072,22935,36754,52293,22935,111981,69573,79014,38370,,
7819,3386,18726799,134060959,18710286,5089.83,5401.53,5069.97,4741.53,5343.07,5435.35,5265.8,5132.02,4959.31,4662.01,5374.49,5330.6,5224.78,5364.13,4968.11,5058.05,5013.51,4955.97,5019.42,5247.29,4655.27,4949.83,31873,14792,25876,5245.68,,
7820,3386,18726799,136048538,18951926,4971.96,4892.53,41830,4536.85,5118.61,4533.58,47290,4617.37,4775.28,25345,5198.78,4820.72,4923.37,4807.32,5087.06,4530.27,4780.1,5356.61,43806,44299,5105.27,35807,156873,138606,137508,5468.69,,
7821,3386,18726799,171030090,18632574,4795.99,4519.14,14454,12349,5478.82,5039.16,4943.85,4689.78,11016,4819.73,5209.26,10997,12166,4933.12,4725.01,5232.36,5355.05,4542.24,15335,13296,10217,13486,4502.49,4869.34,4895.68,5235.21,,
7822,3386,18726799,207066162,18759275,91832,92962,159798,78596,107308,72266,23611,117266,37939,33131,81037,221528,93567,16383,69928,108470,55920,4822.8,25022,4711.45,71222,4502.12,4683.86,5243.06,5489.34,89243,,
7823,3387,18732819,138028076,18761429,4586.27,5145.78,5287.01,5233.89,4664.98,4685.36,4732.6,4813.96,5461.39,5116.36,5085.13,4957.88,4903.12,4803.7,5445.26,4903.12,4777.69,5296.43,4875.54,4844.49,5417.97,5216.18,45257,41989,25209,5362.42,,
7824,3387,18732819,144045486,18697991,5476.34,5066.37,5308.14,5155.14,5115.55,4531.85,5493.28,4591.47,5030.54,5474.19,5355.92,5379.77,32611,4647.87,5295.97,5232.44,4708.41,4656.61,4568.99,36434,5002.96,5091.22,75704,68691,71079,4830.58,,
7825,3387,18732819,336079712,18751663,5186.17,4984.54,5227.16,4917.15,5401.52,4879.02,5037.33,4885.68,5353.29,5008.24,11756,5367.13,5390.57,4530.74,5377.93,5234.04,4728.84,5177.84,5465.41,4662.48,5068.88,4660.99,17174,59536,55528,5375.36,,
7826,3387,18732819,418198578,18748322,4697.44,5019.42,5206.1,5222.12,5399.6,4736.73,5242.54,5256.74,4797.87,11187,5363.97,4853.25,4850.85,4924.49,5157.01,53869,4621.42,5412.9,4711.77,10034,5153.55,5221.11,5082.75,4766.42,4939.78,13649,,
7827,3387,18732819,531170837,18710722,14436,14663,12362,4759.73,4840.56,5382.99,5191.14,5194.24,4938.05,4841.96,16575,15446,5231.76,12926,13153,11240,16108,14336,10709,4601.42,15061,11614,86517,39296,53900,17137,,
7828,3388,18738911,130087219,18579323,4904.55,5430.65,5342.51,5274.06,109578,54562,46462,5064.42,113775,32592,24872,5356.79,4599.43,4898.2,4926.36,48982,4837.49,4688.33,116537,48893,5262.2,82374,5272.47,55589,76085,24390,,
7829,3388,18738911,201017456,18792723,4822.75,4511.94,5083.28,4724.81,5345.93,20585,5040.03,4509.94,4553.11,4788.22,5256.7,5341.63,18878,19376,4886.95,4945.92,5487.21,4907.75,5377.01,4814.08,4999.83,21335,4669.2,85861,5434.98,4579.56,,
7830,3388,18738911,333206573,18741250,158174,125517,229525,217084,114358,104384,219658,216074,22453,52366,123816,203330,177807,212684,242874,156793,179252,226430,23443,107692,223174,22770,22252,28421,28053,145524,,
