peak-aif,Scan Nr,retention,Mass(uD),retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,clusterId1,membership1
1,56,380753,122894112,365309,5462.94,19633,16149,5457.54,4838.52,5301.04,4975.66,5298.75,4542.75,5443.34,5184.22,4732.45,4992.15,4971.87,4858.01,5330.87,4949.24,4503.74,5450.62,13492,4763.13,4565.78,4931.71,4908.11,4658.18,4825.98,,
2,89,601230,292903870,483584,5344.22,5423.3,4867.92,5488.17,5224.06,4918.78,4715.8,4813.62,4714.75,5298.25,77120,35673,4600.5,5431.03,4597.67,5014.06,5149.77,4671.05,5191.45,5177.6,4727.89,20050,166732,137568,5325.93,5013.84,,
3,137,921701,275893097,1244423,103110,99771,86529,86269,86241,85019,86275,66267,4663.16,89766,86439,85497,96949,86807,79244,85300,60034,84924,88185,5337.59,4694.55,86536,86106,58744,88977,111993,,
4,156,1052797,99925537,1170028,5442.46,4884.77,613249,5137.38,5041.93,4671.38,5234.31,5195.8,5368.56,4744.06,4929.31,379017,5107.36,287077,275843,4569.52,296748,261054,4898.48,416194,332387,278798,282421,4947.23,5371.01,359976,,
5,167,1131080,292903839,1215350,135653,168145,174555,130645,126374,129955,128666,132288,129770,127284,138883,153169,127815,126782,123838,144426,126431,126645,126480,164873,128767,127313,113878,127024,126693,173362,,
6,170,1151099,226877213,1279157,70016,73108,4794.63,76695,73198,75899,73190,73823,68417,68471,70150,70052,69248,67797,67986,67527,68805,66191,63094,64210,62924,66454,66776,61946,63116,57468,,
7,171,1157690,160918060,1193365,15752,4631.64,5182.27,13972,13601,5100.01,12336,5135.52,16361,5118.27,14313,13550,14220,5497.27,5056.21,5180.56,4509.88,16301,5306.35,4952.3,4518.09,16945,5476.29,5344.83,5465.67,5482.51,,
8,172,1164384,279856506,1277304,5094.68,91602,75902,5005.18,60557,57691,61128,56008,58061,4944.55,58162,55950,57953,55783,56405,54945,55520,54572,52183,60887,52802,51307,5106.52,49374,4672.47,56159,,
9,174,1177822,274893555,1014488,5407.88,945345,938250,565428,814025,565685,698924,898380,674368,587493,636618,573171,565528,557136,687257,959655,587620,5438.36,4534.21,734412,649546,554094,551082,548781,558351,732336,,
10,175,1184663,154947403,1268312,165901,181688,197437,169042,176962,170351,168051,170936,166175,166323,170193,162851,165484,4542.83,162321,166765,160695,155302,162726,187347,158392,164875,164025,162758,159564,189176,,
11,175,1184663,166959579,1272943,66536,75896,71917,66212,68191,68054,64859,59024,64547,64466,64964,64809,62440,61642,62088,65093,64311,63553,68929,74801,59907,4634.38,4890.11,58172,59912,68433,,
12,175,1184663,184876465,1269607,84885,108023,87548,91991,89892,90750,86059,86542,59956,85051,4794.09,88400,4555.96,84623,81897,87026,4975.81,84273,81586,83048,79097,79190,75275,71385,21580,73898,,
13,175,1184663,215927048,1245980,4775.61,5011.34,66091,58505,5360.57,4802.22,5403.76,4739.32,4922.89,4966.91,5416.37,4551.31,55417,53271,5456.04,5092.44,52459,52654,58986,69445,54300,54575,52469,5462.59,5034.03,62350,,
14,177,1191272,92927681,1196125,65787,5188.57,74282,5414.91,60728,56852,58088,5008.93,4899.64,63623,61748,61987,5492.18,61012,5211.21,62670,4649.3,62082,60487,86429,5350.07,62437,62384,4630.82,4744.69,81586,,
15,177,1191272,182954498,1245777,4676.08,5335.16,5472.93,116664,121652,5225.7,4501.83,5317.2,4888.62,4759.95,4709.22,5013.07,4600.4,111087,5370.02,4517.29,112634,4868.11,5101.47,4791.19,4721.68,4593.19,5013.12,5480.87,4597.01,5337.82,,
16,180,1211326,202887375,1277969,5257.81,54920,4626.57,20738,5095.66,45094,45387,4514.7,4868.95,45065,5435.47,4833.95,4548.73,48483,45270,4674.09,4592.26,5174.29,5078.08,45920,4889.65,4703.05,5284.98,39433,5208.11,5270.86,,
17,182,1224636,94924736,1271781,42911,43215,46958,4819.59,4830.03,4964.69,41949,5226.17,4658.53,5336.27,40355,39746,38391,41095,4760.28,15809,4684.76,41006,5226.26,51775,39415,18094,4621.63,5253.79,4804.14,53393,,
18,182,1224636,154959976,1192166,497191,560820,557652,464588,508796,501618,4704.56,502676,5052.34,502036,494279,497062,513208,569167,512142,499441,490804,528699,511152,565899,499002,481040,509395,471060,484300,501598,,
19,182,1224636,208934036,1313787,5436.61,4999.78,4659.2,5405.98,23460,5005.71,5353.41,4553.47,4887.98,32729,4897.48,5398.89,16336,19912,4891.67,5295.65,36069,38316,5454.03,33623,4878.53,5115.01,14284,37052,16866,5451.79,,
20,182,1224636,221842224,1264934,4832.49,5486.33,55625,4724.53,5079.08,4715.77,4752.22,4577.42,5432.58,38367,4789.97,5147.94,4657.43,41793,5428.97,4647.2,5433.55,38342,4795.57,4844.2,4808.42,4556.95,5423.75,5075.07,5412.19,4760.2,,
21,183,1231476,155959717,1242568,4560.14,44248,48762,4558.73,5072.38,5139.19,4543.17,5158.36,5136.06,4534.52,42702,4502.86,4721.07,4859.51,4719.29,4837.34,5190.66,37350,37929,36837,5076.28,5231.32,5457.01,38757,4756.09,46767,,
22,183,1231476,214927231,1203196,542736,675920,656057,4866.54,572083,554001,547435,598831,561451,570074,553355,586743,554183,573482,583032,618791,564971,530961,535598,657245,631342,519160,530829,529488,535562,619179,,
23,185,1244828,138964783,1261826,270684,301628,315372,278626,254747,254628,266090,249274,262306,229002,280499,275457,254091,240735,269083,243750,242677,264421,236586,301141,258747,245013,266476,263251,266301,293629,,
24,185,1244828,243879776,1259505,286395,428594,406729,353175,343168,333197,328066,331274,327409,329303,311891,311000,325078,297332,296941,296826,278249,287513,282736,298837,271613,274215,274211,263785,262938,280253,,
25,186,1251507,276890778,1238509,67990,4876.12,87882,71388,68164,71159,66567,69011,69519,80379,69237,70229,73803,65974,68245,69434,71479,65629,5114.15,90035,67427,73410,66359,64158,66714,87075,,
26,186,1251507,303846344,1275782,97077,137000,136089,119426,110207,112512,114229,109936,111809,106342,105431,105001,108120,103094,100838,105092,100425,99114,94907,5182.86,99075,96745,95560,93420,93622,100547,,
27,186,1251507,470757172,1124363,4508.5,4675.7,5012.71,5233.55,4674.56,17815,4984.01,5496.29,5329.86,5462.04,12836,4860.17,5107.12,4757.19,4602.16,4635.1,4789.28,4704.77,5167.69,12453,5370.11,4842.96,5322.76,4659.1,4966.03,5081.48,,
28,188,1267347,259895630,1256476,4560.88,5412.43,31386,5145.77,5209.44,5456.36,4605.11,4700.76,4794.47,5421.15,5490.65,22898,4504.45,4647.73,4577.05,4574.02,5041.98,4539.42,4560.71,25191,5346.59,5125.78,5282.1,5292.25,5200.85,5402.23,,
29,189,1274116,244879196,1286060,34687,53962,53612,43884,4630.68,41767,41303,36388,4825.78,36304,36297,36880,5083.21,5316.56,5235.36,4561.64,33247,5149.15,35901,39145,5014.04,15510,5199.82,5212.75,4799.66,4663.81,,
30,189,1274116,292903931,1046077,5016.29,5290.89,5415.38,5192.51,5129.68,4657.89,5099.99,5322.01,27675,5474.95,5421.09,4767.53,4936.44,5039.74,5440.37,5239.13,5081.33,5198.27,5404.74,4749.81,5404.38,35549,4727.32,66149,5069.54,4626.03,,
31,189,1274116,304850800,1291830,39603,47416,48722,45067,43102,41297,40072,5464.76,4834.12,4591.58,42664,40151,4607.21,4562.22,40420,4758.55,4993.01,4769.41,5021.25,42623,37141,35801,4813.5,37473,5151.94,5450.01,,
32,190,1280841,166910385,1286472,140475,158333,138335,163112,139402,4775.82,153106,115264,154386,145206,153233,147524,146035,119571,115715,144010,147262,139473,115349,125284,5395.15,134438,120931,109521,112854,103910,,
33,191,1287516,114951561,1289540,4677.92,4940.77,57835,66477,4503.25,5057.09,5307.27,4827.7,5452.96,4784.08,71798,4978.71,5100.72,4600.06,4979.32,36396,4507.8,67646,4973.11,5238.83,4932.81,5491.05,4914.34,5188.28,5035.82,4669.22,,
34,191,1287516,183913055,1262511,159947,230495,214905,165981,173744,189056,194531,159999,182912,181460,179610,184838,157216,169199,170165,168129,147588,161794,157951,161232,163651,124944,155336,151236,132665,134654,,
35,191,1287516,364830414,1302723,5173.14,16103,5142.1,25478,11679,4603.22,4636.87,4999.87,4533.81,4641.31,5381.74,4906.81,5460.74,25910,4570.5,5428.99,5451.72,5269.98,5372.12,25987,5076.41,5306.1,4507.94,5161.64,5338.44,14254,,
36,192,1294176,219845322,1262796,5042.16,93246,80745,61899,5175.7,52606,63819,4610.1,5300.62,55512,62945,61545,4954.82,59669,4575.99,58915,57871,5171.14,51527,4839.48,52242,5069.83,5262.93,5453.17,4794.13,52291,,
37,192,1294176,252896149,1314601,12200,4739.11,5386.63,5114.34,4588.09,19742,4710.37,4949.61,5289.44,12076,5170.77,14745,5459.61,13140,4968.75,11703,5277.62,19370,19218,16691,4567.65,4752.7,5114.82,16254,4991.41,19192,,
38,192,1294176,261890167,1234506,348289,515150,493408,455466,433806,411800,436412,421958,437267,404747,406605,383321,417766,395989,374115,374058,361383,357630,354715,375716,347900,364738,337572,5186.6,333574,347955,,
39,192,1294176,262890167,1283585,43807,4697.16,63363,5158.23,52414,51270,50934,49478,53151,4697.81,51066,51270,51718,5069.03,47861,4755.77,4990.45,45560,46725,47584,45811,14407,4932.62,42467,4661.2,5400.31,,
40,193,1300926,110969818,1293209,4615.55,4864.18,5364.78,14026,4593.42,17685,5151.33,11535,4723.74,10459,5345.27,14771,5259.41,13338,11950,18045,4579.25,24669,5014.28,21419,5374.24,4698.11,4718.69,22940,4766.3,10690,1,1.0
41,193,1300926,122969856,1255532,106302,135256,135290,4772.48,118187,112698,113460,114252,112732,116426,99649,109640,113407,112209,115419,90653,110945,107718,110352,129708,113574,89394,105806,117614,4563.31,122891,1,1.0
42,193,1300926,202941360,1290536,156066,4713.52,4731.79,118528,48181,96683,150860,131146,137781,69124,141064,138654,142761,144077,118903,129246,139073,156789,167857,124700,132237,168662,143783,162970,138876,94482,,
43,194,1307734,118992905,1281867,4995.5,65783,65098,5325.8,55787,59887,57469,4559.84,5287.24,5333.08,4965.52,5003.55,5099.22,53395,54644,5486.91,53719,53335,4671.96,5384.48,54335,49780,54969,54478,5110.63,5305.56,1,1.0
44,194,1307734,150915421,1301314,4813.67,315880,4875.53,359034,5389.22,362836,4795.43,5196.93,4739.94,5146.88,348260,5485.8,309788,329053,326082,335466,5445.12,4634.54,317061,5352.68,288253,320977,315631,306401,281138,5420.04,1,1.0
45,194,1307734,184922424,1314114,5214.37,19861,27013,4752.71,18197,30284,29347,4676.4,5110.11,14075,29833,4586.11,4845.84,29651,4530.13,5047.7,4820.6,29465,26893,26107,20335,4769.22,5232.62,27667,4886.13,5488.5,1,1.0
46,194,1307734,186873413,1302264,4625.48,5469.05,35886,31148,5400.87,5384.92,29219,4665.01,5345.1,4749.72,4932.53,4891.35,5327.19,5229.94,4843.45,5359.7,5354.42,27510,4605.92,5305.59,12682,4869.76,4944.46,5482.33,4794.14,4515.11,1,1.0
47,194,1307734,376784821,1310432,5419.78,4719.55,12926,4862.49,5384.49,4770.61,4816.35,4567.61,4544.76,5213.77,5213.12,4960.19,5460.95,5009.21,4651.37,10311,4901.81,5446.72,10112,5188.85,5305.4,4807.92,5255.46,4644.97,5207.3,5059.58,,
48,194,1307734,412850983,1272852,5452.65,4804.14,19662,4628.34,5342.69,4974.81,5256.26,5204.49,4661.43,5484.01,5079.38,4522.96,4592.22,4920.46,4720.47,5119.96,4631.96,5019.76,4691.85,20249,4731.22,5339.85,4884.41,18541,4738.72,4811.04,,
49,195,1314389,94980293,1306395,4657.28,4994.27,5162.55,5380.35,4642.45,4955.97,4765.34,4803.57,5207.21,5344.31,4906.05,4519.22,4751.86,4747.95,4637.41,5208.83,24422,4614.39,47535,4564.77,5097.05,4632.37,5409.1,45717,5198.29,4898.98,1,1.0
50,195,1314389,104977211,1301513,52731,30918,5372.86,4987.7,4521.72,44429,4850.3,5038.96,4782.1,4728.4,4540.86,45406,4997.93,4653.75,4556.41,56091,4580.07,5380.59,58121,4907.33,49122,4963.82,4630.21,5216.34,5367.41,5350.91,,
51,195,1314389,168925980,1303826,55932,51713,54630,37557,4702.65,59932,43090,59081,35929,58885,58294,58298,38214,54954,52488,56340,54693,4623.55,52102,5051.28,56320,54102,55720,52414,53327,46107,,
52,195,1314389,181897491,1287222,197072,236798,274854,252571,249024,235196,238844,208506,231614,224719,225096,219679,198836,212983,193853,204240,201515,201308,196166,194198,187052,194572,186784,186930,168122,181207,1,0.813684636499
53,195,1314389,244843918,1299361,4550.07,4738.76,4545.24,4639.17,5497.31,5086.41,4785.09,13519,4577.21,5467.99,4944.44,5387.7,4753.78,4863.12,5315.59,5374.46,4575.02,5409.16,5104.2,21310,4595.26,4845.19,4670.78,5117.54,5385.85,21296,1,1.0
54,195,1314389,352870361,1260401,50723,60314,66960,53942,57656,56895,57394,53887,54154,53324,54773,4675.62,56725,53051,55165,54656,52373,49725,50679,70581,52858,52239,50723,52334,52185,72450,1,1.0
55,196,1321045,103920044,1271743,96652,5332.19,4801.8,125261,107057,135273,4526.41,5364.24,4867.44,5346.4,5411.67,5265.06,108956,4695.69,5066.34,104633,109128,104084,4636.87,4747.22,67170,4661.44,4512.24,5177.54,4547.38,4558.94,,
56,196,1321045,144923050,1301050,5343.75,4952.91,5250.02,12780,4738.09,4891.43,10325,5039.37,5093.73,4904.79,4726.2,4505.59,4556.79,4999.2,5132.67,4807.22,10755,5484.58,4759.51,5450.8,4697.21,11352,5451.52,5055.63,4579.65,5368.22,,
57,196,1321045,310914246,1239680,4676.24,5020.98,30912,4855.56,4504.13,23216,5405.02,4775.76,4504.44,5032.08,24171,5063.3,5350.01,4987.35,5167.42,5154.2,5070.01,4802.47,4638.16,38146,5330.63,5334.69,4703.56,4571.98,5273.08,4730.98,1,1.0
58,198,1334556,263888123,1303501,4526.26,39455,5209.74,23988,4870.24,33134,4716.09,4618.15,4811.51,31413,4739.97,5438.82,5032.22,4535.09,29599,5196.44,13129,5059.33,4828.37,29537,5250.46,5038.03,5175.7,5031.87,5303.48,4656.22,1,1.0
59,205,1383564,196954544,1381704,12895,19199,19256,14058,12346,12309,15121,11154,10275,4854.1,11132,12594,16992,15533,16768,14978,12117,4530.9,11669,10899,12335,10937,14248,5063.22,10115,18928,,
60,206,1388730,92919525,1389840,10420,16895,5116.02,5204.47,4812.19,5005.9,5389.9,5458.01,4704.82,4592.72,4986.95,5489.01,4566.07,4729.51,5410.01,5472.96,11475,5211.33,5310.49,4559.84,12536,4541.21,5021.41,4947.63,5415.36,4806.67,,
61,206,1388730,195927429,1387606,21736,20002,26875,18403,21208,21326,22105,24220,24821,19460,23552,4903.23,19344,19576,22480,22258,21603,22482,18391,23376,23521,21274,18684,25136,19804,22780,,
62,207,1393746,194927597,1393710,81948,85301,143579,117398,105255,121664,103131,149357,110205,113733,118268,126307,119812,108667,84966,69416,127024,115605,107188,127469,116479,112977,85298,114585,104433,112096,,
63,207,1393746,208906113,1390971,24549,18442,21598,30466,19983,28877,22205,26907,20771,22351,25359,24635,23002,23813,25049,20602,26562,24300,22437,17256,21046,20789,19523,21497,21525,4653.37,,
64,207,1393746,236901062,1392875,52238,49641,53289,59969,60443,53856,51237,51117,56600,55580,50179,56597,55701,47881,56939,53151,52350,49523,46213,35716,50739,44134,48807,50680,50697,42674,,
65,207,1393746,241904175,1391808,23146,37194,49359,31665,33719,36373,5346.18,31270,29127,30477,31568,28137,4568.18,28576,26625,23788,27615,27374,24447,25877,20625,17294,4711.24,24523,27311,22499,,
66,210,1407845,195949860,1407748,13660,17278,5052.58,5173.68,5270.13,5151.9,5385.94,4550.41,5441.73,11435,4547.28,5342.21,4586.26,4872.82,4795.9,4641.2,17610,5005.35,5071.22,4524.01,5310.15,5323.31,5232.85,14443,5290.28,5388.47,,
67,211,1412428,194948639,1419697,5062.24,265741,268057,5259.73,4854.45,5207.6,218358,78565,4655.28,237411,222775,5090.61,226780,4774.09,4661.52,5363.38,4521.32,5324.18,4687.24,252887,220727,4961.58,5118.72,4977.4,5175.85,252108,,
68,211,1412428,252956116,1415517,76127,75549,56401,67894,61605,53594,5253.19,66850,41047,86456,68899,69824,62505,66781,5490.65,52882,64140,67111,54721,45928,82155,4630.69,47819,86341,4661.1,92906,,
69,211,1412428,374900787,1415093,5231.58,5406.41,5063.45,4808.68,4648.15,4740.86,4984.55,4606.28,5138.07,5023.78,5343.07,5221.42,4601.71,5090.78,4766.14,13918,5215.87,5430.83,4607.42,5159.75,19485,5097.65,4766.31,4853.57,11294,5117.49,,
70,212,1416963,167958038,1402967,5385.27,5424.01,68666,55630,57166,55938,5458.65,52543,55144,54808,50619,56092,53905,62742,5228.56,63896,58234,59002,55918,59194,4855.76,46865,41904,59395,56007,59570,,
71,212,1416963,194948730,1432172,160260,196546,189659,5050.64,196361,185880,167572,155901,173120,177321,162326,183544,162038,180937,150264,196277,152034,190970,152469,181647,158740,4809.55,151822,180618,191282,173167,,
72,212,1416963,195967468,1418584,47486,4790.15,61343,47489,54923,55267,46714,72585,5373.48,52677,4581.56,65587,4848.02,52373,49831,66355,66102,49004,68166,63189,56615,61341,46468,65091,69222,68505,,
73,212,1416963,207949783,1416821,19396,25942,4855.58,26210,5229.5,5005.91,22054,5211.97,23480,19273,5290.87,4726.72,5466.13,29077,16997,5103.96,16681,5189.67,4853.42,20682,22652,4844.5,4624.09,22001,21307,5496.31,,
74,212,1416963,221946655,1425180,86999,133137,110392,98042,110485,109241,70687,96530,83188,4904.46,99660,95796,104279,5062.25,109537,87261,100553,90539,83227,108262,80259,88522,71416,90301,102570,107603,,
75,212,1416963,282930481,1404998,4903.52,4720.26,10166,5091.88,5408.51,4664.38,4966.39,4806.28,4633.39,5200.34,5037.18,5256.21,5394.75,4638.37,4699.98,5411.54,5090.97,13336,4704.44,20400,4761.26,4648.02,13128,4561.14,5263.05,4965.97,,
76,212,1416963,297946350,1421863,57548,49873,67118,42409,47278,5479.41,71170,57491,4891.82,85276,61608,61729,57884,72752,62017,58658,4879.52,5177.61,46321,68550,4973.38,47186,44809,78640,4911.01,81110,,
77,212,1416963,380897797,1439717,17048,4790.81,4574.99,5165.88,19532,5097.19,4851.09,4680.85,5287.63,4790.9,4997.82,4612.79,4661.98,5209.18,12332,5344.41,12729,5064.58,4916.59,5489.4,5279.01,5096.03,4612.01,5204.18,15344,5205.4,,
78,213,1421463,134960449,1424134,2028639,2406281,2499480,2177364,2103881,2156879,2030692,2124335,2091679,2080056,2088937,2127078,2090468,2123883,2078010,2076149,2133619,2058206,2041118,2137119,2056156,1987658,1892840,2085998,2133402,2214987,,
79,213,1421463,152971008,1419754,1238026,1314835,1340367,1208261,1199048,1229828,1210004,1257509,1275491,1223334,1208296,1251666,1202936,1253777,1277164,1235686,1253389,1195351,1185417,1316156,1217242,1176101,1144291,1211393,1228118,1348639,,
80,213,1421463,181966537,1422351,5155.35,5110.16,5046.7,143199,4933.39,5111.4,155630,157135,5070.59,4933.5,154845,159139,148244,4950.01,146594,5093.01,156661,4779.32,4755.61,4624.86,150825,5434.2,134546,141687,156100,5349.94,3,1.0
81,213,1421463,210960648,1478697,59176,64155,46351,175895,59856,61640,60147,169879,59078,66877,4809.1,50878,187263,152646,65850,61787,177245,166632,4621.6,81402,190227,54114,63627,78698,76764,5211.89,,
82,213,1421463,222942810,1441645,74360,95239,97921,87166,85209,89648,88055,83538,90066,72164,75646,79380,78587,95541,80893,94498,81641,71619,67656,81112,66094,70035,64118,84170,74983,89060,,
83,213,1421463,240954178,1426780,162122,166739,5146.93,160662,146008,182775,184952,169366,148781,161782,170887,186330,172693,194135,188472,159853,181386,197489,145098,175303,5438.47,167349,155236,169039,152672,181122,,
84,213,1421463,251938278,1423516,29732,44603,37107,48790,37804,5170.28,36253,45836,41879,4994.1,41172,30222,4691.43,22812,5345.24,31952,24127,33018,24184,30428,29067,5081.4,5455.81,26630,35972,41959,,
85,213,1421463,298944153,1427044,53377,42296,55709,37794,33739,36475,47196,5092.26,37572,48523,40608,35402,36767,46599,45606,56373,37969,43023,57395,61477,53852,5237.03,4625.71,46412,47197,5018.61,3,1.0
86,213,1421463,307931763,1425746,4987.97,61717,69039,4529.12,52814,53045,73647,4612.07,59163,5476.02,44754,65979,5307.49,5015.59,48363,58188,51431,66815,53976,54277,50562,5441.86,5334.81,67312,56100,47346,,
87,213,1421463,350903870,1496843,51798,53255,78114,46838,60345,46560,49949,112795,53621,44772,43310,5260.92,86741,40764,49659,4626.86,101346,74432,50844,48219,81937,5370.02,5475.74,35582,55365,55644,3,0.996482996872
88,213,1421463,352899231,1459128,27001,20402,4863.38,5162.26,28747,40679,30644,30901,5228.18,5370.45,4595.76,5101.1,4923.88,21643,19843,28669,5422.57,4506.38,5079.27,5249.91,5138.66,19079,55098,4612.79,5017.16,5292.45,3,1.0
89,213,1421463,365919678,1473530,28808,4718.52,34310,23388,4706.04,38386,33680,18223,4862.31,27987,23023,28162,53932,28646,55726,5056.07,5318.42,14004,23529,26325,38406,21222,25582,38237,49607,36417,3,1.0
90,213,1421463,374899109,1523745,28209,19498,27508,50225,36798,5115.37,14272,53780,5024.45,4704.88,34636,25387,49255,23041,25374,34281,20691,47724,21245,23763,64616,30603,18599,33951,48241,51087,3,1.0
91,213,1421463,448909973,1430046,46062,5209.3,31932,39811,29134,4721.41,52848,74441,16670,4942.85,4807.99,48874,48192,42122,46650,29725,5260.99,4883.43,35871,28418,53435,19779,4938.84,4910.64,5043.65,4776.29,3,1.0
92,213,1421463,450906891,1448172,14472,30566,27743,25889,5102.93,22390,15472,25458,12825,22374,25267,35266,26034,38376,4529.15,22622,17647,44701,4546.39,22123,28902,5150.55,4606.2,36899,4986.38,35140,,
93,213,1421463,494883026,1483468,5255.25,5149.56,4525.01,5214.06,4604.96,4818.35,4894.37,5062.83,4655.39,5472.36,5058.01,4542.51,14729,4682.36,5226.18,5218.52,5008.98,15660,4607.56,4772.76,5029.71,4797.95,5424.44,11631,4823.87,5188.4,3,1.0
94,214,1425957,177956528,1434124,476407,581625,556203,517853,484439,528713,505043,509195,503688,525283,539457,508153,523489,522300,507405,513063,494172,528951,5309.01,548750,491518,477508,4638.91,498141,516301,543421,,
95,214,1425957,182963623,1425269,4564.61,5073.04,5235.25,138926,5470.81,5078.98,4823.88,156916,48717,5350.57,4525.42,4976.52,5458.35,138479,145534,4754.61,5010.79,5075.34,4777.73,98785,5131.26,88003,39776,131919,4689.12,4884.57,,
96,214,1425957,193951569,1434792,155470,186769,187668,158026,172973,167829,153057,171109,151261,162943,190308,175179,166399,153148,59491,168965,178149,161281,4697.82,167337,164616,164387,136173,170960,172870,152620,,
97,214,1425957,238956116,1545297,5426.51,5309.34,4773.27,386710,5134.68,5055.49,4857.27,4998.03,4754.69,314429,4787.06,5353.85,5256.71,4689.38,5044.35,384501,5200.88,5138.28,4840.01,5238.85,352854,4604.02,5157.78,4668.4,5480.41,5238.75,3,1.0
98,214,1425957,294946228,1429594,495186,5320.42,537526,489252,498264,505869,515313,509973,4733.94,507234,479010,514319,5436.69,485602,507703,465992,490217,525322,5424.37,5318.02,485830,5489.04,428532,532014,490452,537315,3,1.0
99,214,1425957,320931000,1448964,91319,4907.29,120423,77832,4551.35,83068,88086,73794,4873.85,73336,104915,101637,97246,101189,94157,86165,85412,67381,4538.58,80109,80594,72879,62041,5483.37,93503,87461,3,1.0
100,214,1425957,324906616,1423639,5198.93,4962.52,15811,5026.96,5452.92,18668,4576.01,4961.64,4876.37,4793.5,4773.55,16537,4579.96,4762.21,4919.99,11895,12564,5053.68,15735,13975,5180.3,21547,5350.64,4536.26,5314.34,5305.89,3,0.999850546389
101,214,1425957,324942291,1538642,5212.54,5194.6,4833.2,4933.76,5387.83,5392.16,84212,5137.85,4780.92,4533.12,69790,5059.12,4586.02,5453.36,5066.65,90083,5347.97,5045.37,4794.59,4646.8,4844.78,5350.41,5295.1,5241.98,5409.52,4597.14,3,1.0
102,214,1425957,337925018,1434569,49128,5305.74,70895,58915,5137.92,33294,42581,64043,50898,66160,4832.12,63368,4544.54,50941,62077,50954,44958,51624,31030,40630,38225,39297,34543,53663,59653,54209,3,1.0
103,214,1425957,348924072,1492551,19074,22884,37130,21673,16530,24347,25316,13735,4746.09,5474.45,4751.67,25060,45009,42685,37348,21392,32808,22342,43396,22894,34921,23570,5060.89,29655,25703,5480.09,3,0.951727555506
104,214,1425957,360907867,1446724,54258,5099.17,57146,65326,4633.65,52635,76171,65968,5499.66,5274.96,4802.41,5354.76,5488.28,62054,68931,4634.2,4695.55,5282.26,4648.21,54530,4976.06,42556,51973,5215.04,78962,5202.45,3,1.0
105,214,1425957,361909485,1432294,5375.48,5204.97,5335.85,4853.68,5261.4,4596.93,4646.38,4983.42,4831.8,4722.33,4739.38,4695.43,5035.03,22217,5126.63,5322.63,13301,15191,4574.2,5088.32,19796,4729.98,4715.46,4603.05,4970.27,16231,3,1.0
106,214,1425957,363922058,1450381,5173.91,5045.56,4749.81,109469,112152,5305.68,4773.61,5077.82,4965.74,4804.43,4666.15,5489.45,128130,5476.18,126254,4803.77,114327,126075,4761.52,4944.96,146166,5077.06,4761.01,5099.41,5173.1,5171.56,3,1.0
107,214,1425957,561855713,1500381,13221,11666,11026,22807,5132.13,4603.74,4531.53,49191,5370.19,17275,27667,21856,40057,23925,4646.65,14542,30670,4992.84,5335.51,4931.95,35423,23932,34109,5055.78,32378,36160,3,1.0
108,215,1430430,176956055,1441113,1763129,2012812,2000370,1855093,1762973,1830646,1800143,1770863,1789552,1807497,1843776,1781124,1838647,1804140,1810976,1775158,1871011,1827164,1708308,1808061,1588603,1746136,1650025,1858585,1849728,1921313,,
109,215,1430430,194966965,1433058,241441,261086,278809,268939,266886,261337,265319,293578,255420,283396,284429,241244,251084,279278,245172,256539,250815,280638,263149,275975,269886,245936,237950,268054,284068,286755,,
110,215,1430430,200941605,1417034,5127.68,21119,10325,20891,5001.15,13612,10960,15374,11897,5375.54,4841.08,13575,5351.14,11521,12180,4783.56,11928,23055,13517,4568.92,5044.37,11639,5474.48,5235.12,16403,26027,,
111,215,1430430,210961624,1421246,4942.26,5416.08,4983.37,48308,5265.42,4533.63,4980.64,55119,5291.01,5100.36,5481.44,4596.98,61847,84699,5009.77,5491.73,67644,75164,4934.25,4704.9,51208,5405.18,4542.89,5339.92,5231.73,5215.25,,
112,215,1430430,220945801,1551355,5417.8,4776.27,5252.56,262254,5109.55,240655,5145.12,5159.89,4537.91,4959.42,4532.27,5053.51,5057.81,5172.87,5289.36,5121.08,4943.83,5109.83,4705.62,5346.91,222109,5454.96,5456.93,4915.18,5198.76,4510.12,3,1.0
113,215,1430430,220945923,1433307,352091,420430,423279,376652,349838,357967,302298,355215,342206,349447,354707,4544.33,321473,345168,360191,344657,348485,369691,309685,349735,346462,318983,318518,339592,329737,350387,,
114,215,1430430,222961655,1431432,824201,859456,868769,811393,784777,797005,847043,824235,857711,877139,833879,835522,880323,883836,852883,830899,839375,861103,795621,876663,817082,785773,758434,834262,822923,891121,,
115,215,1430430,225959961,1416211,28491,28016,37031,26364,18488,28695,21356,28225,20487,5005.07,26454,31418,26831,26709,28474,18676,23564,30297,25607,32285,18773,4952.58,23461,31261,30793,29002,3,0.952073084733
116,215,1430430,251959763,1418239,44061,37771,53671,35225,27034,44274,5224.9,37117,37842,4789.85,5424.77,46653,4689.88,39686,35372,30142,44108,41487,25089,5370.72,34728,49481,39345,37304,38042,5258.8,3,0.952818787093
