peak#,scan,retention,mass,clusterId,centrotype,membership,clusterId,centrotype,membership,clusterId,centrotype,membership,retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973
24,184,1235740,1.75E+08,,,,,,,,,,1225501,23209.51,77165,100138,26939.63,74393,24301.03,78203,22966.7,25641.05,23575.33,74097,72244,70818,83180,73457,23501.57,73869,74191,25173.45,88336,26728.84,25960.23,27114.06,80622,73064,94341
25,184,1235740,2.40E+08,,,,,,,,,,1291284,144931,193380,152973,158760,157719,146749,152814,154358,150404,152448,151790,149098,148080,145271,150061,147247,139510,148592,136769,146883,88561,142735,145471,135119,133193,26339.86
26,186,1249086,1.65E+08,,,,,,,,,,1217772,147462,23135.25,166831,26703.5,160044,163605,167890,162211,25248.51,166234,165689,24530.23,25794.24,23927.16,155590,154207,150040,145850,24395.12,105423,148351,142403,141867,136372,135683,140202
27,187,1255786,1.99E+08,,,,,,,,,,1314498,80824,80573,26483.81,90838,91411,89630,91428,63552,88638,87503,89384,86918,26398.8,80387,82797,85031,57519,87353,86446,70730,84104,86616,84333,88223,94333,25772.42
28,187,1255786,3.57E+08,,,,,,,,,,1282813,23679.88,26643.37,22785.75,22534.14,26458.33,56745,57155,24672.82,25079.22,25719.92,25156.22,24942.37,22677.42,55188,25651.84,23833.5,26134.03,54323,26469.53,26793.29,27020.45,25626.78,24126.78,60947,27421.82,25139.74
29,188,1264921,1.91E+08,,,,,,,,,,1291784,23436.77,71000,75675,69773,23297.31,23956.78,67791,67038,26683.3,24156.95,70426,68311,25966.97,65430,26390.36,23586.61,25326.39,68562,22758.54,26643.93,69837,25528.51,24452.74,66693,22717.44,23724.1
30,188,1264921,2.07E+08,,,,,,,,,,1218427,516647,637498,645531,22900.82,577008,541252,599535,566419,547463,531389,529495,529526,514665,519157,524589,523533,547042,514088,526727,574373,484965,509955,522054,561195,26790.23,603705
31,189,1271692,1.73E+08,,,,,,,,,,1192943,163329,237022,230312,188712,196364,187065,208599,171981,169353,169403,176702,165658,158638,163121,165382,166403,161635,165161,186787,173151,160001,111707,163268,178612,187733,180510
32,190,1278419,9.50E+07,,,,,,,,,,1300496,24151.3,84284,81992,79723,80359,24262.62,79698,77320,78858,76033,80942,78594,27300.13,74088,74447,25627.66,24784.78,23753.58,72757,23612.95,75204,23738.27,26376.31,75349,77609,27302.63
33,191,1285092,9.70E+07,,,,,,,,,,1300944,23668.84,25860.31,24462.39,68432,27090.24,26936.05,23087.68,71002,24845.79,25350.13,23972.23,70055,27065.44,24615.35,64902,23473.93,26418.52,26142.76,26795.43,24139.15,27209.81,26539.03,24595.49,61246,23925.05,23257.01
34,191,1285092,1.23E+08,,,,,,,,,,1232225,25714.42,25272.23,26846.37,62828,65562,70192,68487,63733,65000,71143,64934,68489,71216,26457.84,74157,74003,69992,78423,23441.34,58058,26966.15,24482.26,23066.52,23033.18,71403,65783
35,192,1291752,1.52E+08,,,,,,,,,,1289015,103350,61519,66727,26686.15,23118.15,26338.91,26066.99,27419.07,22813.25,26754.32,23569.41,25860.35,94899,91740,98019,23694.2,100992,104522,54710,25207.18,25949.51,26959.69,23172.61,74380,76633,24176.31
36,193,1298498,1.41E+08,,,,,,,,,,1279985,1504378,2367474,2349870,23657.47,24696.44,1905534,2032948,26283.36,25825.94,1838797,1879267,1863316,24662.89,1657506,1621600,1610202,1535835,1641811,1504932,1628515,1439465,1447069,1495951,1550331,1519219,1707381
37,194,1305311,1.16E+08,,,,,,,,,,1140321,25357.48,25948.1,26153.37,58206,25000.04,61755,27169.5,26771.41,24339.89,25551.07,58668,24531.65,26012.68,25470.87,22739.57,22983.31,24057.4,22542.45,23323.99,25628.1,25798.55,25501.48,25444.98,23400.44,58618,55083
38,194,1305311,3.07E+08,,,,,,,,,,1251377,239325,315358,314061,258490,265268,23951.31,260086,286721,255891,258325,257201,253739,253720,246306,253908,195775,249951,246467,264865,316174,244694,252849,250434,194322,246754,307282
39,194,1305311,3.86E+08,,,,,,,,,,1263739,23576.47,24459.6,162119,24063.99,144002,25925.88,26692.37,133127,27356.9,26460.94,126629,26310.85,121357,117056,113872,26898.13,27499.91,109657,24201.16,26510.09,111675,24374.99,109048,26650.83,23555.81,23718.02
40,195,1311965,9.70E+07,,,,,,,,,,1295766,25494.94,26378.07,24762.59,50639,26083.98,26115.04,26876.45,50303,23235.73,24733.34,25091.46,56391,25623.27,60568,54871,64894,58072,27426.94,62053,23033.33,69779,26397.49,25334.87,62011,62335,55556
41,195,1311965,1.27E+08,,,,,,,,,,1326646,57626,24504.91,25814.51,22606.83,25334.3,25576.12,27253.17,22799.98,24847.56,26119.2,24081.09,25653.58,25468.01,56017,59892,58168,55768,55929,59734,22943.81,59158,59021,24078.37,26324.93,60030,22754.18
42,195,1311965,1.38E+08,,,,,,,,,,1316143,25459.57,27380.92,22591.72,26740.71,26062.04,22727.68,27319.98,23108.31,26123.6,23935.78,25139.38,24986.49,24208.42,24729.62,26431.3,56324,25601.89,22682.5,23512.77,25308.73,54455,57055,22863.97,24495.36,50147,22900.52
43,195,1311965,1.42E+08,,,,,,,,,,1298410,87167,135129,135762,119247,120321,115748,112557,111824,108433,106952,102121,104589,100438,93753,92945,23833.61,90273,90672,25927.7,92781,25666.88,86012,85423,86957,87640,24394.39
44,195,1311965,1.73E+08,,,,,,,,,,1286028,26058.24,24082.29,22606.57,66277,71103,22510.64,70352,69248,69181,26116.9,69501,69947,26903.2,23578.47,24213.35,26221.12,64885,70347,67904,25574.64,22734.88,25643.55,22773.7,71598,71735,23016.76
45,195,1311965,3.36E+08,,,,,,,,,,1298641,121206,203656,23345.81,162039,164147,148613,151367,152078,147169,146618,147486,144706,140755,131903,134162,55684,125379,127277,120574,25940.9,120092,123777,120156,116590,116156,65550
46,196,1318621,1.23E+08,,,,,,,,,,1281619,25091.17,70000,65316,62496,23022.05,23431.24,60178,58567,25874.23,23335.39,26880.5,59412,24124.01,57093,55659,23664.04,25734.23,22727.31,27476.31,22988.37,23016.41,27290.69,27223.25,23491.31,26693.21,24604.8
47,196,1318621,1.29E+08,,,,,,,,,,1302200,24769.37,27284.63,24355.84,22768.96,25016.61,25504.56,25871.82,25821.53,27321.4,26331.08,86365,25181.29,27058.18,80825,25212.23,23929.64,23397.53,81074,76057,25686.63,78544,25281.01,23787.06,26547.34,22807.76,24833.57
48,196,1318621,2.86E+08,1,48,0.999955206,,,,,,,1294395,215094,373624,296872,299704,300118,281304,274908,279885,268010,269281,259518,254207,249954,236495,236421,239150,222887,228897,220184,213793,164460,210838,210589,207108,209670,26001.02
