peak#,scan,retention,mass,clusterId,centrotype,membership,clusterId,centrotype,membership,clusterId,centrotype,membership,retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973
1824,317,1881647,7.99E+08,,,,,,,,,,1879566,291764,234497,388638,422558,126681,196437,320001,262017,25164.89,22775.58,279214,373210,258300,465624,407506,291347,303013,347868,24476.8,25115.02,363102,24914.73,455907,447862,408185,240916
1825,317,1881647,8.51E+08,41,1853,0.99707518,,,,,,,1871147,80018,22772.81,69321,142122,24788.77,55509,22795.64,187010,24051.93,23687.7,62423,27497.09,153040,26483.65,192058,23915.34,179758,97187,24283.07,27043.34,204423,22992.56,88203,100030,64949,27470.14
1826,317,1881647,1.19E+09,41,1853,0.98645548,,,,,,,1881046,23906.96,23544.82,22609.74,115549,27278.39,26133.18,25797.96,136709,27319.75,26268.35,25216.09,27466.45,114081,26038.29,119773,24065.32,97199,22553.21,27108.43,27465.09,114194,26214.34,24391.04,23254.94,22505.26,23337.98
1827,318,1886011,1.40E+08,41,1853,0.981694432,,,,,,,1875753,24704.82,25649.89,88417,146866,25553.19,25895.64,23554.56,128022,26927.08,24696.23,24468.65,22872.85,188687,26733.45,127133,25397.15,128327,106888,25643.27,24769.09,142549,25820.66,24264.11,26399.58,25204.81,24754.66
1828,318,1886011,2.14E+08,,,,,,,,,,1880710,475509,296707,576451,617110,553952,503345,644536,493671,25348.52,240781,432989,710002,551405,516983,556061,640511,534535,668275,22656.97,25056.76,563728,22561.31,527524,26415.97,22511.83,283174
1829,318,1886011,2.35E+08,,,,,,,,,,1851318,26756.16,63486,24615.43,23681.99,215991,135749,22612.96,24942.63,23821.59,25931.6,24869.92,23986.25,24966.23,26634.71,24813.33,24918.09,24933.09,24043.75,25349.25,126800,25106.81,25938.19,22711.55,27238.45,26454.84,56107
1830,318,1886011,2.46E+08,43,1861,0.999620054,,,,,,,1895691,318195,24585.81,24282.96,23128.7,846374,555157,193517,23204.25,1201053,850180,323778,23079.58,24281.54,27349.82,26472.94,420248,27154.54,26314.47,1260613,634556,25705.52,890518,26782.65,26190.91,25608.11,119173
1831,318,1886011,2.66E+08,42,1832,0.997581621,,,,,,,1895242,1629850,1533613,1360673,273448,2667405,913890,2493308,275256,3811120,1620653,1678240,2786035,315979,8421630,293213,3130975,268770,1521719,4009241,1518106,320703,2040190,472100,1602317,1648942,2084675
1832,318,1886011,2.93E+08,42,1832,0.999955206,,,,,,,1881270,5841573,6251116,5850461,1833828,7454309,2637123,8755051,1933005,10630643,3642409,6216559,12639574,1593276,47195052,2330944,11723191,1955545,8045733,14918941,3911182,2372915,5484179,1225043,6234699,7316413,7989235
1833,318,1886011,2.94E+08,42,1832,0.999934523,,,,,,,1879562,625709,624771,657913,26394.49,765326,25147.41,986363,23884.42,1137530,27300.64,651532,1402929,23278.18,5183986,24007.8,1277364,24558.28,858894,1588946,390447,24898.98,538576,24548.03,691894,822948,890604
1834,318,1886011,3.03E+08,,,,,,,,,,1891658,25482.26,27099.27,24076.11,26706.03,24919.8,26263.02,26898.38,24924.29,149494,140906,131111,23416.62,26937.86,25348.42,25182.51,138651,24023.13,26725.93,388676,27136.3,25746.54,161300,217485,24796.07,233189,25408.14
1835,318,1886011,3.03E+08,,,,,,,,,,1838645,24498.75,24415.57,27325.1,26734.27,277141,22978.87,23450.55,24584.09,23832.82,26219.46,206446,25377.5,27295.03,26135.62,24803.44,197190,26251.09,26137.33,202344,24429.52,25990.58,26087.4,27262.03,27279.97,24291.52,186571
1836,318,1886011,3.26E+08,,,,,,,,,,1883993,24260.12,24511.26,27435.83,26991.92,224156,168022,256255,26856.04,223508,249675,24905.44,219907,27041.91,26482.71,23723.34,23623.73,25939.38,26939.12,153950,23305.29,24304.44,206269,175795,25755.42,22571.18,25007.51
1837,318,1886011,3.29E+08,,,,,,,,,,1887915,25586.17,25275.1,23658.16,23709.38,26551.54,24946.59,25933.6,24718.59,24788.39,26463.49,24303.82,24368.86,163897,24721.42,26365.21,24319.37,149672,26897.18,24492.01,23644.34,181171,24074.38,24084.74,25278.05,26497.34,24673.59
1838,318,1886011,3.61E+08,,,,,,,,,,1872468,278931,227815,287366,255802,365572,285189,340677,253608,207817,216839,259522,353173,261559,290518,295977,397711,267130,312277,241845,199989,284911,206767,243434,22881.05,22523.94,224751
1839,318,1886011,4.13E+08,42,1832,0.953691104,,,,,,,1888583,24971.78,23591.91,23234.85,23367.46,26521.89,23349.18,26295.08,26142.74,264863,25443.42,23721.08,26512.57,22834.48,336334,22640.68,23608.87,24422.91,25797.76,238557,24271.86,23605.38,25902.18,26509.28,23880.05,25887.97,25683.23
1840,318,1886011,4.43E+08,,,,,,,,,,1876361,23827.73,24767.15,25194.29,115187,25742.74,25665.81,26103.95,23866.56,27090.92,26183.34,89792,23299.69,77811,23527.06,140135,25858.44,25487.3,25285.19,27362.24,26771.19,97155,27381.04,106429,246601,151723,27481.29
1841,318,1886011,4.55E+08,,,,,,,,,,1837619,25689.31,25214.74,24914.19,60924,26063.8,23211.84,24496.11,61400,24193.38,26256.96,24571.96,23360.75,53973,23712.31,25205.37,23281.63,23338.13,23331.79,24995.24,26946.23,24478.01,23780.41,22789.67,26228.6,25762.83,23841.14
1842,318,1886011,5.26E+08,,,,,,,,,,1870505,26542.89,24960.01,23535.95,24418.48,23644.5,23311.93,25673.14,783425,27152.9,23468.25,25726.67,24203.44,727301,22588.32,23090.9,22888.71,22586.47,26058.56,23519.73,827707,26442.62,24428.01,25481.62,26261.15,24516.38,772069
1843,318,1886011,5.60E+08,42,1832,0.995241888,,,,,,,1890034,25234.96,24237.9,24217.51,23252.43,24250.01,26960.04,23850.09,26601.8,65821,24513.66,23228.5,24834.27,24409.55,811488,23049.97,25536.14,23389.05,24184.48,104282,23222.31,23268.92,25873.1,23921.78,23990.33,26030.56,22618.01
1844,318,1886011,5.61E+08,,,,,,,,,,1880610,25485.38,64534,109670,25871.14,61208,27219.72,66909,24358.6,25491.17,23525.4,23759.52,68559,63951,26505.56,26746.67,26517.13,27122.46,72854,24651.71,84673,25097.95,26812.75,72791,25742.74,22986.65,73889
1845,318,1886011,5.63E+08,41,1853,0.984597031,,,,,,,1887229,26496.27,24297.33,25895.74,73970,25470.94,22979.09,22869.68,107721,27098.01,25695.01,26286.41,26290.02,59015,26667.21,66522,23365.16,75680,26816.96,23721.78,27369.78,86340,27287.5,26792.2,26876.49,25627.25,26853.24
1846,318,1886011,6.35E+08,42,1832,0.997725729,,,,,,,1881334,3459308,4070897,4826895,2769776,3579781,2305444,4191706,2071687,3633250,2585506,3176094,5097616,2024884,12393022,2636349,4299214,2139524,3987335,5704403,3842488,2436001,3120181,3529893,3514607,2916883,5399222
1847,318,1886011,6.58E+08,,,,,,,,,,1878996,456165,487397,394096,618478,338950,365313,368296,522893,226730,305130,373071,302606,486574,239582,553648,382190,503305,414324,328975,563219,519512,301943,220405,309280,324306,494933
1848,318,1886011,6.59E+08,,,,,,,,,,1880639,100317,137069,100453,154431,73323,77095,75355,132638,70396,92160,111885,65429,115908,24980.41,147244,97181,130099,96379,136953,147630,130316,95508,26816.98,80390,80129,142827
1849,318,1886011,6.72E+08,,,,,,,,,,1874493,92326,80571,84360,130111,23409.55,101103,51928,145655,23494.59,77809,81285,25462.66,200596,24322.67,133258,60888,114781,75647,23057.89,154548,158659,77580,23857.71,23808.51,23307.92,106503
1850,318,1886011,6.75E+08,,,,,,,,,,1883089,23415.75,24982.05,25141.91,53947,26618.96,25245.6,23668.65,57070,26177.72,23342.3,23637.93,25223.71,25308.87,23112.16,24655.29,26041.44,53376,25864.43,25714.67,22953.67,62860,25124.19,24527.07,23051.22,24745.47,23985.06
1851,318,1886011,8.12E+08,41,1853,0.999923754,,,,,,,1879923,1994743,1310927,2167895,4808363,959593,1909079,1623152,4804197,232293,823741,1985426,1370738,4051163,1957342,5215571,1270657,4745953,2512244,168198,553497,5071152,341807,1544453,1981207,1372126,1496906
1852,318,1886011,8.13E+08,41,1853,0.999919419,,,,,,,1879101,672462,431474,705059,1595590,324136,635708,513799,1609970,25752.37,247115,678201,469549,1331793,634266,1729033,447297,1547791,869562,27361.09,201676,1699114,97767,532242,657979,449693,471474
1853,318,1886011,8.14E+08,41,1853,0.999955206,,,,,,,1879052,235167,146992,259290,517069,90459,196108,170131,543426,23790.55,77778,218283,170342,435678,222142,541140,131315,508862,265273,26030.28,24312.56,558764,24182.03,205465,248528,183855,168026
1854,318,1886011,8.35E+08,,,,,,,,,,1862576,70074,25223.77,23195.54,82036,23066.92,72532,26218.22,187779,82572,94526,57552,26365.39,93728,22614.05,119262,22923.69,140618,22649.93,22784.64,24037.29,153451,105015,23952.98,24468.08,23519.22,22861.22
1855,318,1886011,1.07E+09,41,1853,0.991179014,,,,,,,1885776,24170.12,25778.15,27446.01,110158,26875.64,24694.67,22725.08,91778,24176.72,24089.62,26011.21,23273.15,74804,24567.88,116579,24946.72,88040,26535.41,22659.15,22658.83,110284,23722.13,24335.04,26159.55,26796.21,25046.12
1856,319,1890399,1.02E+08,,,,,,,,,,1883201,5457538,4237430,3202559,6095784,4924139,6182902,3829053,6396887,6388100,6858766,5322026,3567573,5982162,4139506,6746488,4945609,7044760,4525220,6495124,5597131,7301365,7761935,3429849,3775392,3260286,4509530
1857,319,1890399,1.03E+08,41,1853,0.990136903,,,,,,,1884318,25852.47,25974.1,24609.05,276279,25057.89,27200.8,22867.94,252161,23350.29,26256.75,22545.92,25897.94,255328,26424.14,294315,26661.78,317386,24153.47,25001.91,23968.87,310201,23526.94,25921.66,25356.89,27196.94,25518.59
1858,319,1890399,1.28E+08,,,,,,,,,,1936700,5976765,4371826,3891862,6277947,5142155,6395848,4185199,6767973,6828578,7153837,5533994,4347130,6375043,4214368,7115538,5286368,7501549,4836689,7271971,5993103,7711351,8236289,4367703,7189909,3339625,4785479
1859,319,1890399,1.46E+08,,,,,,,,,,1883032,103483000,92325976,67675448,132446328,105699344,133819760,79721480,136448928,135351856,141965872,108077992,70719280,117848032,79899808,130377600,93935896,134828560,85302016,122996792,101603984,134596016,142891872,64546032,71576952,62814132,82852656
1860,319,1890399,1.47E+08,,,,,,,,,,1883200,6035815,5299996,3789297,7768968,5897677,7503697,4656421,7908826,7874347,8470044,6397912,4160576,6994874,4733113,7781872,5636566,8009377,4926703,7132490,6087603,7814142,8393755,3664031,4007456,3422873,4589020
1861,319,1890399,2.32E+08,43,1861,0.999955206,,,,,,,1880732,483368,252619,26348.86,26744.43,1311992,918674,23394.04,24381.57,1897989,1265574,510259,24909.99,23231.37,27327.58,25741.16,777377,25569.93,24762.32,2176330,767263,27038.38,1454387,24768.5,24305.39,24598.22,24263.96
1862,319,1890399,2.98E+08,,,,,,,,,,1886140,1552145,1395254,25589.29,27057.09,3030731,1713582,1994672,22623.65,3050257,2755107,1433976,1477784,24459.34,26414.65,24629.05,1711324,26187.46,25416.47,2238196,1867660,24859.85,2608220,2014410,1981758,1793486,1243001
1863,319,1890399,3.60E+08,,,,,,,,,,1967709,25168.31,22614.64,25119.66,25487.43,26952.11,23800.8,27359.58,24827.34,25187.85,53727,24990.83,25423.7,23287.24,23131.22,25526.48,22625.14,23354.58,25583.26,22595.72,91235,23593.13,73333,23035.07,24616.94,22712.93,23002.77
1864,319,1890399,3.97E+08,,,,,,,,,,1882222,247748,220485,162779,62239,389865,204862,304227,24341.94,719631,373330,299631,233423,26808.49,589289,24150.31,323943,23866.66,205531,547683,237646,79987,397979,24358.88,226267,241767,263988
1865,319,1890399,4.02E+08,,,,,,,,,,1885978,148434,23940.2,26852.29,207597,171260,172101,262976,184076,26251.92,54238,142778,290370,263696,196738,219675,170715,135676,221375,24426.08,27061.21,195259,23353.3,100387,27110.32,26822.27,24350.83
1866,319,1890399,4.40E+08,42,1832,0.999615787,,,,,,,1882534,279209,282391,242493,24301.57,369388,118336,368630,27114.31,640488,184157,319038,442096,25231.31,1962789,27368.38,514872,25725.84,364685,701403,161673,23391.59,262170,25394.26,196796,244995,332008
1867,319,1890399,4.41E+08,42,1832,0.994881283,,,,,,,1888591,25689.95,23366.39,26843.55,25231.75,26815.11,25871.75,23649.35,26361.27,83727,25092.93,22876.79,22888.73,26617.8,310115,22570.67,23804.29,24554.55,26270.23,122920,25570.46,22722.04,27000.36,25246.5,25060.46,23775.14,22583.19
1868,319,1890399,6.08E+08,42,1832,0.970490389,,,,,,,1882830,1038049,1165453,1384893,700941,1164562,801323,1176990,800907,1366326,984233,913565,1185600,682646,2617715,834925,1197685,637790,896351,1558550,1476864,743444,1008321,1157122,849353,644026,1722206
1869,319,1890399,6.50E+08,,,,,,,,,,1884788,3735334,2817616,2877871,5318374,2939673,4072951,2346017,5748778,3967933,4465366,3494567,2066232,4621142,2471887,5370820,2599349,5339196,3154591,3715426,3920784,5439578,4530134,2852450,2060353,1691723,3124050
1870,319,1890399,6.52E+08,,,,,,,,,,1883451,290665,199540,247725,395156,218211,326272,181124,455038,291673,22638.79,276253,176717,364133,199606,443065,208516,409608,250802,291274,283907,433208,341567,281468,194118,151414,235942
1871,319,1890399,6.73E+08,,,,,,,,,,1884872,276858,203189,147864,495170,190556,348644,142969,694009,199481,309305,258027,84372,498990,91300,548246,167634,591235,198343,188776,358578,516209,262238,98839,103835,132939,287201
1872,319,1890399,6.74E+08,,,,,,,,,,1882525,55405,26658.82,24894.37,126336,24533.11,81109,23973.28,169688,27240.56,77109,26174.79,24511.11,129570,26161.2,137117,25179.99,140488,26683.21,25224.8,76069,117513,64049,27051.66,25510.18,24117.01,23582.8
1873,319,1890399,7.49E+08,43,1861,0.993488628,,,,,,,1883014,27212.93,26174.63,26989.55,26266.04,78642,25784.93,23342.99,26030.64,131080,69966,24401.56,26307.01,24940.94,24934.41,23677.84,23529.41,26634.05,25264.51,135214,61432,22968.76,99725,26385.9,25261.53,25499.06,25757.03
1874,319,1890399,7.72E+08,,,,,,,,,,1869648,24207.9,26914.09,299936,24580.77,25173.23,23835.27,22742.97,25307.02,24420.16,24359.11,95347,24162.41,25377.43,25392.21,26640.22,26675.06,26794.91,24129.92,26516.29,90693,27242.53,25669.39,27443.13,24813.67,24883.48,410847
1875,319,1890399,9.07E+08,41,1853,0.989541777,,,,,,,1892715,26879.78,22756.56,25905.19,119314,23524.07,23081.32,25794.75,129637,25043.67,26413.45,24490.33,23113.19,89696,56295,122555,23322.22,108957,91042,24695.4,25272.11,123244,25605.11,70353,27295.74,23194.42,25837.38
1876,319,1890399,9.59E+08,42,1832,0.975542837,,,,,,,1914901,160565,131541,224273,81552,309581,26034.55,223212,72983,25481.95,392074,157378,319144,57878,1260133,115112,208240,477041,289441,434387,263774,118213,469073,101296,210815,180687,275229
1877,319,1890399,1.05E+09,,,,,,,,,,1898685,23335.66,27068.11,161670,150388,25612.27,22629.26,85252,102966,26293.25,27138.15,23706.56,86730,87478,109385,133731,24402.91,112784,122408,22582.16,23912.62,107368,26640.76,68130,90720,22946.72,67762
1878,320,1894740,1.00E+08,,,,,,,,,,1905659,153385,25193.57,23293.2,170864,23956.46,153124,146056,148542,27133.27,148918,157816,118317,187456,159252,133264,25385.2,233193,204518,156036,27257.65,162792,198492,153746,178495,168899,24400.77
1879,320,1894740,1.60E+08,,,,,,,,,,1890369,258984,283570,348402,226888,279026,212391,311730,240087,262353,214998,263043,351784,227027,451383,236247,298124,251803,303382,233734,25681.89,243749,234189,332554,269835,293265,24430.63
1880,320,1894740,1.64E+08,43,1861,0.989984245,,,,,,,1890039,548654,556508,23634.59,23793.72,1320930,497610,568835,106395,1505903,766120,558331,558339,24054.21,274023,23955.64,911595,24420.4,263152,1474069,563836,108611,766177,24956.24,22985.23,24165.8,25636.98
1881,320,1894740,2.31E+08,43,1861,0.999753293,,,,,,,1891294,5166552,2999094,460982,406639,13684307,9400976,2286846,827442,20116302,13676623,5658577,1724939,776119,1147447,382715,8318810,885119,942808,22696166,7284796,626053,14928004,564598,550687,566449,2348483
1882,320,1894740,2.45E+08,43,1861,0.999737345,,,,,,,1886158,3367116,2043653,317576,264925,8055832,5742530,1638737,543311,11858204,8502282,3544855,1137776,542861,654627,277626,4853799,573505,632700,12768892,4628911,425686,9525355,249463,488141,641514,1642905
1883,320,1894740,2.69E+08,,,,,,,,,,1890675,27157.92,23383.11,26951.11,27084.61,23546.18,23348.34,23585.17,22704.13,121970,83638,58790,25531.66,24732.41,25118.16,25372.67,23219.54,26148.05,25749.53,91934,26714.21,24811.22,22642.51,23447.8,26573.73,24892.2,27136.74
1884,320,1894740,2.79E+08,,,,,,,,,,1931474,164442,26707.25,24924.95,256197,24868.59,276556,23664.31,215640,353836,283031,211179,24785.06,145421,106634,23296.48,173324,168480,70922,403742,23329.89,165780,291248,134595,26559.2,102260,24457.8
1885,320,1894740,3.32E+08,,,,,,,,,,1962890,25011.88,383753,22719.6,26479.55,260170,218860,24943.49,22568.18,444220,386833,140719,23217.76,23150.27,25308.48,23792.27,132102,22814.39,23279.42,168408,1215834,27124.77,558511,25904.97,22756.49,24109.35,375929
1886,320,1894740,3.67E+08,43,1861,0.996904615,,,,,,,1911083,235864,263903,26080.41,24698.69,683989,371123,195099,22666.92,797964,633846,215561,23717.18,22615.27,26363.46,25448.98,322087,23628.77,23130.38,687209,426999,25320.34,630020,25836.57,22644.73,24348.2,286458
1887,320,1894740,3.99E+08,,,,,,,,,,1894707,24460.57,26174.71,26312.52,24792.18,73357,25229.63,26717.99,24019.01,109685,26619.03,24605.51,22704.1,26425.44,158887,26722.76,25976.62,23736.27,22974.42,146103,25039.67,25897.59,26605.67,26889.1,25950.78,23451.09,23502.26
1888,320,1894740,4.03E+08,41,1853,0.992090347,,,,,,,1886476,1319072,709903,1019949,2848426,1022083,1536563,1268798,2941099,98083,524240,1284477,1163785,2411381,1160401,3034095,1227371,3082920,1849303,26678.45,27093.01,2885783,24972.28,846953,24992.97,78287,736673
1889,320,1894740,4.04E+08,41,1853,0.98841164,,,,,,,1891503,182204,25303.3,25975.95,416186,114029,226274,26629.46,446159,24801.07,24000.73,192901,165497,336408,163316,415294,189229,472975,252244,24003.18,24451.52,442900,22731.99,109230,26802.8,23401.29,24045.34
1890,320,1894740,4.61E+08,41,1853,0.952325227,,,,,,,1883590,23417.94,27214.06,324779,435864,23623.88,22739.26,251577,421488,24854.98,23863.78,23049.76,227380,354440,248239,334253,24060.03,228043,373158,22862.11,26380.5,332930,25800.06,208414,26984.31,24373.17,27359.29
1891,320,1894740,5.49E+08,,,,,,,,,,1887793,5274444,5177829,7642154,5773921,4495748,4664475,5343749,6145714,4548902,4816580,4973534,5208367,5411977,4875508,5598435,4016705,4968090,5656610,4111531,5432426,5305125,4718965,8324476,5238709,4920917,5891041
1892,320,1894740,5.50E+08,,,,,,,,,,1888098,1112571,1128514,1647980,1203831,995173,998917,1040448,1352030,977522,1076877,24082.26,1081566,1198004,976974,1172583,834252,1056367,1167025,877619,1160452,1148103,1009942,1791558,1117209,1076137,1231453
1893,320,1894740,5.51E+08,,,,,,,,,,1887106,308391,306519,471001,344718,259414,292900,304625,365105,26330.87,313171,285885,295628,328993,277472,335164,232386,275492,320597,244831,303867,312231,265139,498648,314408,27091.01,358155
1894,320,1894740,6.36E+08,,,,,,,,,,1918579,1108608,143456,1266811,916086,1076757,836752,1075107,619257,1338851,1098125,1046055,170884,658099,3168510,859200,764349,634499,1036581,2045603,1298227,757215,1271686,212979,452282,462119,1378984
1895,320,1894740,6.51E+08,,,,,,,,,,1884871,968964,723587,731253,1411272,793952,1054662,603283,1538130,1065074,1144882,941337,553935,1230803,689100,1410196,701356,1405971,829393,1026107,1103153,1487189,1190021,756350,542794,461824,822379
1896,321,1899094,1.32E+08,43,1861,0.986081271,,,,,,,1895345,32950388,22499342,11669671,26980056,42862956,33068690,22769830,19870594,54320536,44854264,36708368,23832074,19367656,26343880,25061706,42156224,19266662,18483156,74010632,32378876,22149996,46977208,40196024,31452674,32780698,18863412
1897,321,1899094,1.33E+08,43,1861,0.953674096,,,,,,,1897710,1464908,23121.61,26011.45,1216945,1860957,1448296,25580.94,930137,2479236,1984531,1628159,23897.18,874159,23063.58,1147065,1873715,892920,24556.11,3182078,1533615,967368,2103017,1789869,1443609,1463342,27332.48
1898,321,1899094,1.73E+08,,,,,,,,,,1901598,923721,1667593,762315,443190,1965940,1260316,838422,485640,2207826,1579577,920045,748212,473446,653766,442496,1375356,507352,569298,2107835,3587147,432404,1694713,359704,397020,451888,1486030
1899,321,1899094,2.63E+08,,,,,,,,,,1890402,173177,111724,82252,27304.41,254133,171091,146568,25484.43,375608,26463.6,24962.31,129629,22617.69,224051,106464,208721,86369,86161,335568,266860,122306,387937,24306.99,26364.76,24164.85,151876
1900,321,1899094,2.80E+08,,,,,,,,,,1894181,450582,462080,303627,25155.64,1044965,325318,759848,26388.12,1453351,594707,467560,544570,24030.7,819381,25449.31,698663,26935.71,324879,1300182,490016,23383.38,677263,179470,457339,445875,526809
1901,321,1899094,3.26E+08,,,,,,,,,,1899768,1646832,1436015,26608.08,1349015,2255425,2503186,1901129,1620718,2820501,2878718,1804092,1184047,1239197,1607825,1161398,1454407,1041101,1045948,1883753,1238918,1135787,2428956,1203770,1677274,1635006,271639
1902,321,1899094,4.02E+08,,,,,,,,,,1899728,64110,24489.01,26990.97,22821.81,26195.92,24035.66,25720.43,26182.13,24745.11,24764.18,71758,62241,26253.18,53511,27167.07,83432,24806.03,23584.77,225797,25159.66,25704.7,207376,99163,133661,116083,22625.83
1903,321,1899094,4.26E+08,42,1832,0.974699974,,,,,,,1895947,25846.45,24474.33,23300.25,23926.14,23108.32,25039.23,25108.26,24667.4,25108.06,26275.84,26196.27,25344.7,26448.63,1032671,26198.13,24888.45,23980.62,22809.22,730884,25593.4,23313.06,24162.7,23014.41,24007.41,107623,27127.06
1904,321,1899094,4.32E+08,,,,,,,,,,1905489,25857.12,23119.96,24974.87,25605.54,84727,137930,23168.14,155501,95029,24474.24,136004,26788.23,26781.37,23747.46,167978,114084,186509,164562,116611,23247.78,26598.46,155360,94703,120967,82875,26323.68
1905,321,1899094,4.61E+08,,,,,,,,,,2171646,23824.64,128562,105654,25149.58,25163.85,25415.63,115876,184334,24336.06,25409.67,64767,112261,215603,96480,195529,23186.99,375845,66747,23542.09,27032.58,199302,23038.96,75997,82181,90607,109588
1906,321,1899094,4.74E+08,,,,,,,,,,1893680,6145686,13062789,24774.52,8201859,6451595,3670987,26747.09,2374352,2903414,23106.16,3658983,25417.89,3477283,23058.86,4929047,7053994,4081960,25336.9,22789.72,26839.45,4471752,3376708,4828995,27388.74,25094.39,23379.8
1907,321,1899094,5.45E+08,,,,,,,,,,1918174,23949.17,25280.97,24763.96,27214.54,644467,472205,26979.62,235977,349281,22821.52,342594,25533.55,25391.47,197828,535952,27357.67,382469,582225,24640.58,828147,22742.38,24841.42,26610.28,26412.09,23858.36,607145
1908,321,1899094,5.62E+08,41,1853,0.983489939,,,,,,,1899058,272745,264352,274478,465020,247395,229753,250677,495294,232576,226804,231315,233834,431158,345845,503607,196532,464859,317600,232505,255645,501736,246831,233883,232639,161035,300844
1909,321,1899094,6.37E+08,42,1832,0.965340332,,,,,,,1908268,259044,313428,360361,248538,316828,212981,308231,175355,89908,301637,271208,395138,138637,898612,213324,348988,124104,295669,581656,390550,194075,344463,263467,111531,155932,388851
1910,321,1899094,6.37E+08,,,,,,,,,,1887835,27110.89,24138.23,22516.41,23753.39,23991.5,23654.89,26473.46,26734.91,372024,22993.5,26023.35,23409.87,24931.58,26875.33,159219,220041,22757.9,23975.41,23627.59,25474.06,22686.28,26328.38,378135,281843,263612,26669.75
1911,321,1899094,6.71E+08,,,,,,,,,,1898138,23295.48,26931.33,26865.34,84550,24108.45,24643.63,23858.58,23366.12,23854.87,23680.77,24105.22,26933.23,84846,24060.2,60674,23712.64,79731,26898.85,25931.93,26833.21,84913,23675.76,27068.67,24449.34,25202.81,25443.44
1912,321,1899094,7.54E+08,,,,,,,,,,1918666,73212,63294,104050,26435.1,84859,26287.15,107357,26697.4,26283.74,26729.87,64528,114848,23437.54,155727,65668,77818,26309.13,79986,129926,27162.03,78242,73401,167103,174663,180889,23057.9
1913,321,1899094,8.68E+08,,,,,,,,,,1884983,230209,274876,23188.68,284983,27272.55,199101,26504.29,291442,22745.87,25526.92,24131.42,27226.38,281526,25093.72,306134,25932.91,23682.01,25156.81,26482.65,531209,270927,24070.24,26075.17,25708.89,22585.26,381303
1914,321,1899094,1.14E+09,,,,,,,,,,1888288,101931,150334,256367,196820,54219,24897.61,152362,92323,25535.76,22748.42,104608,169764,124128,230859,173849,113838,105934,171590,25308.53,23673.28,129272,27241.67,103026,164824,95176,184614
1915,321,1899094,1.15E+09,41,1853,0.991950652,,,,,,,1890758,100193,73449,144860,263887,26233.76,103109,65287,240745,25381.51,22707.95,93155,71426,211175,72180,240432,50758,239269,124424,26516.81,23242.53,234699,27444.43,76138,23902.67,23676.58,73461
1916,321,1899094,1.16E+09,41,1853,0.980325914,,,,,,,1893776,27173.56,24695.06,23210.97,135450,27148.28,26929.8,25344.97,94662,25819.01,27029.95,26101.69,23612.7,78767,23219.67,105982,25996.31,98151,23363.14,26152.72,27158.65,117593,24292.19,22978.62,25566.63,26734.46,22574.74
1917,322,1903459,1.15E+08,43,1861,0.973379913,,,,,,,1895850,387645,239339,121087,292005,444265,360867,248429,230934,585367,506335,430240,270854,217834,294862,293347,474193,230553,238226,895706,365217,268288,565693,476541,365597,396355,243107
1918,322,1903459,2.25E+08,,,,,,,,,,1899193,18797264,16159422,15150425,12949291,25753738,22969658,26266738,14800088,27567824,27169090,19860306,20358198,14540677,15661251,9701173,16632963,10604690,13112668,18121612,14205928,10660140,24213696,31945664,29800960,29023078,15149844
1919,322,1903459,2.26E+08,,,,,,,,,,1902861,1512217,1288405,1099736,978538,1945439,1814433,2076480,1197507,2217260,2128996,1601584,1600475,1178208,1242714,772053,1293464,820846,1015188,1446196,1128352,808985,1969587,2524085,2358274,2314774,1075721
1920,322,1903459,2.28E+08,,,,,,,,,,1900779,395081,325512,590099,531689,25341.6,24753.34,623616,465392,23343.37,26407.1,406824,698982,613709,520670,499005,379525,499676,627872,26712.26,27161.29,538519,27364.41,24679.67,575326,24011.06,26553.57
1921,322,1903459,2.68E+08,,,,,,,,,,1894879,22814.25,24475.27,24050.96,25926.89,23384.34,55254,26617.8,24782.95,26629.01,61502,25315.07,27026.81,26949.43,27478.7,23365.61,26951.89,24853.62,24118.52,24894.91,26004.48,24882.05,69781,98539,111640,119558,27124.81
1922,322,1903459,3.02E+08,,,,,,,,,,1898249,3572448,2802632,5504944,6350056,3153941,3399252,5279374,6316932,229304,1060790,3348988,5597685,5778115,5066539,6322737,3921784,5930341,6348193,23992.71,757930,5825154,22554.86,3959172,27454.2,472583,2910428
1923,322,1903459,3.03E+08,,,,,,,,,,1899725,325574,270999,533466,609101,296417,325322,508669,630705,23702.01,23509.73,308702,539870,563785,484073,621915,361912,573191,605426,27425.38,23057.39,563076,24070.1,368616,23949.97,24927.21,275514
1924,322,1903459,3.12E+08,,,,,,,,,,1905102,23163.47,26941.58,22734.03,182171,651279,24415.26,349693,124382,790854,602262,423388,257806,124902,26910.05,141917,452731,24129.41,140678,824606,285719,108250,23521.12,248585,512138,434109,157779
