clusterId1,centrotype,cent.factor,nr of peaks in cluster,chosen peak#,Scan Nr,retention,retentionMean,Mass(uD),membership1,simIsShared,sim ranking of peak,max sample name,max value,QUANT_START,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,QUANT_END,mass list,(relative)intensity list
215,5203,1,2,5206,1830,10394503,10065267,443082977,0.965086,FALSE,1,Qe05970,327093,>>,73448,110756,91999,23848.21,98770,27338.62,23284.31,24285.1,26353.86,26501.67,130554,73310,27268.21,52784,26549.16,69560,70450,24944.14,24951.84,108995,67344,61449,327093,277286,228710,113332,<<,4.43082977E8;3.01103851E8;,999.0;793.19;
216,5217,1,2,5217,1857,10579488,10818608,354090851,0.999955,FALSE,1,Qe05970,957397,>>,146939,23833.97,24525.64,119236,151679,138952,123537,109531,92680,78972,236654,23588.48,27056.72,183450,160299,25517.75,152215,66415,105806,24078.34,23008.83,26327.4,957397,572063,530607,22987.86,<<,3.54090851E8;4.54138641E8;,999.0;117.41;
218,5245,1,4,5242,1885,10775422,10724342,243171127,0.999227,FALSE,1,Qe05966,3956187,>>,1059943,961324,59953,27490.16,2108622,1806196,381489,122995,2904971,2528457,1033681,229169,138292,25536.5,26962.45,1302165,123156,78523,3956187,2022954,80831,2783837,23230.18,282074,319737,894418,<<,2.43171127E8;1.90054245E8;2.44174683E8;1.92050171E8;,999.0;640.5;128.08;26.8;
219,5256,1,3,5255,1901,10874351,10816891,352079559,0.999313,FALSE,1,Qe05953,415883,>>,203400,137061,214372,165491,382087,190070,415883,102983,397525,349077,203294,222773,91366,261420,23804.35,197735,61173,108692,306125,198224,127636,242487,104704,81325,97489,200386,<<,3.52079559E8;7.06170166E8;3.52581482E8;,999.0;518.2;348.97;
220,5258,1,7,5263,1904,10893051,10837660,658155579,0.994129,FALSE,1,Qe05961,2148661,>>,838841,610428,583277,1801688,349435,999034,329825,1911930,208913,530133,684279,438925,1608495,727986,2148661,745979,1716984,650659,155485,489672,1929379,438869,91648,78951,55546,694815,<<,6.58155579E8;6.59159119E8;3.28574005E8;6.60158142E8;3.29075317E8;6.80137573E8;3.39565002E8;,999.0;323.13;281.32;114.47;87.66;58.07;21.64;
222,5276,1,2,5275,1914,10956478,10964154,286176941,0.998948,FALSE,1,Qe05966,1417527,>>,427594,362912,26489.22,24076.5,851586,690331,99323,27237.42,1036576,970843,393366,81759,25088.17,25255.08,23231.09,566080,24619.88,23050.32,1417527,923501,23602.4,1020484,27241.91,91908,99717,339029,<<,2.86176941E8;2.87180511E8;,999.0;146.3;
223,5280,1,3,5284,1917,10975691,10942706,311077026,0.984784,FALSE,1,Qe05970,1794303,>>,648635,544721,253077,303338,484832,430765,314038,315410,450895,494537,607838,354207,282184,344839,370485,474278,284511,328072,583072,422541,349510,447639,1794303,1679187,1462413,524421,<<,3.11077026E8;3.120802E8;3.75069244E8;,999.0;147.0;54.5;
224,5292,1,2,5292,1937,11105349,11096324,137024216,0.999955,FALSE,1,Qe05971,6606347,>>,1356971,1240555,22633.07,24928.11,1279548,24811.62,1054869,23303.01,1413871,1108780,1216276,22673.11,24198.64,24911.4,26494.66,27464.68,24824.52,25241.04,1371264,23898.01,26091.68,1049425,24701.92,6606347,3431028,23867.96,<<,1.37024216E8;1.38027267E8;,999.0;64.06;
225,5302,1,3,5302,1948,11174522,11152055,515140015,0.999955,FALSE,1,Qe05953,872887,>>,627220,452376,527987,582785,593702,507935,872887,572940,332333,498308,533431,870454,607593,557340,523766,594378,399379,584693,402181,374426,517780,367376,853034,511678,586700,462312,<<,5.15140015E8;5.16143433E8;2.57066437E8;,999.0;236.28;186.32;
226,5310,1,4,5310,1956,11224064,11181878,575270447,0.999955,FALSE,1,Qe05960,1142729,>>,992812,814524,892187,997239,1056195,1053836,1095035,911052,821960,1007735,882549,917061,785080,1142729,1122875,1059495,759160,895058,1121102,999589,1015011,873276,352800,355201,442826,886243,<<,5.75270447E8;5.76273804E8;5.77277405E8;6.19257813E8;,999.0;285.7;75.56;66.76;
228,5321,1,5,5320,1966,11288957,11218518,431155457,0.999955,FALSE,1,Qe05971,4572161,>>,543816,360799,23107.18,27473.44,26500.05,26375.84,25096.78,22851.83,27188.89,27424.9,392571,24048.11,22530.14,26115.1,24414.74,27217.58,27450.5,23369.29,68777,25929.56,23146.52,26844.02,1355209,4572161,2014726,420283,<<,4.31155457E8;4.7716098E8;4.32158844E8;4.7816394E8;4.67132019E8;,999.0;488.01;212.9;105.53;56.35;
230,5334,1,3,5333,1976,11348874,11338597,471171509,0.977671,FALSE,1,Qe05950,1584941,>>,711320,600003,1164772,1584941,751989,585913,141183,1298376,128797,371874,582031,863802,1321388,805928,1020253,566843,762617,785909,102568,251755,889273,132162,147371,140077,170759,684624,<<,4.71171509E8;4.72174957E8;5.15138916E8;,999.0;183.57;157.37;
232,5350,1,3,5348,1994,11448986,11415319,216087402,0.999764,FALSE,1,Qe05972,4879709,>>,1582484,1246029,1202111,1271614,1325201,1068662,1633177,965984,967671,1274117,1570081,1075896,1044577,1039554,821976,789165,693009,790120,886192,570446,887228,960377,4337435,3663070,4879709,1282664,<<,2.16087402E8;2.17090958E8;1.16982765E8;,999.0;95.61;14.61;
233,5364,1,3,5364,2003,11498657,11471948,443191833,0.999955,FALSE,1,Qe05953,7793595,>>,7239801,6291254,6122444,6554400,7201110,6882314,7793595,6424165,6036433,7292043,6440280,6887044,5518666,6640722,6626437,6678377,5203732,6005384,6860662,5869849,6696569,6391440,6740197,5956230,5346257,6273099,<<,4.43191833E8;4.44195282E8;4.45197571E8;,999.0;236.09;45.08;
234,5374,1,3,5372,2011,11545738,11513722,411126770,0.974156,FALSE,1,Qe05971,178422,>>,105882,94782,81252,80926,96071,80759,99679,72224,87341,90952,95530,97991,55515,99694,93517,95744,56130,84580,100527,79550,82201,92111,133129,178422,160037,95771,<<,4.1112677E8;2.15082489E8;1.71066208E8;,999.0;643.11;275.82;
235,5386,1,2,5385,2020,11593474,11533231,797286621,0.997883,FALSE,1,Qe05967,311695,>>,143075,305251,256699,73302,128059,89232,242837,129347,146536,119290,94532,149584,54138,148401,118947,151028,23839.08,99432,150873,311695,80661,93684,88635,133658,125076,300739,<<,7.97286621E8;7.98290039E8;,999.0;413.88;
237,5415,1,2,5415,2045,11718899,11671939,302150696,0.999955,FALSE,1,Qe05966,530288,>>,156157,140848,26103.49,24635.68,326063,220236,67311,25679.41,375309,322014,148517,52975,27373.35,24463.53,22685.9,225181,25949.73,24261.56,530288,298756,26881.73,363206,25310.95,25768.38,23181.94,129242,<<,3.02150696E8;3.03154144E8;,999.0;163.03;
238,5422,1,2,5422,2050,11743316,11712924,385113434,0.999955,FALSE,1,Qe05970,1610625,>>,1358041,1161278,1111120,1179643,1362530,1212805,1295030,1152578,1087000,1290559,1205749,1242729,1211773,1158480,1201334,1233684,1032900,1195566,1248726,1113171,1245595,1218246,1610625,1396067,1408442,1145126,<<,3.85113434E8;3.86117004E8;,999.0;176.71;
239,5446,1,3,5446,2068,11828029,11854645,707181763,0.999955,FALSE,1,Qe05953,4559769,>>,3267555,3216387,2421851,2171397,2807357,2330353,4559769,2473842,2680395,2916313,2475580,3230533,1577232,2728241,2743864,3230581,1727139,2476781,3231263,2791502,2277541,2390667,3570923,4193454,3778009,2583154,<<,7.07181763E8;3.55091614E8;1.92059067E8;,999.0;348.99;64.44;
241,5468,1,9,5463,2078,11875293,11841051,414140015,0.999767,FALSE,1,Qe05953,4249102,>>,2963984,3011812,3872971,3992880,3649420,3349236,4249102,3721844,2504335,3237141,2745996,4100085,3693590,3536019,3985875,3193786,3022507,3551799,2641460,2788300,3608605,2746560,27035.64,25957.77,187548,2727566,<<,4.14140015E8;3.68134277E8;4.15143524E8;7.22228943E8;3.69137787E8;7.23232605E8;4.16144348E8;4.58129974E8;4.83134766E8;,999.0;399.52;200.96;156.34;75.85;63.72;43.09;28.99;10.47;
242,5495,1,2,5495,2087,11918555,11874337,708185425,0.999955,FALSE,1,Qe05953,1635797,>>,1181112,1237798,1020718,780866,1024716,852603,1635797,899114,951124,1044339,900013,1169118,552868,981427,982375,1164717,616820,899852,1174936,1039107,863227,867840,1289114,1511956,1362897,969414,<<,7.08185425E8;5.30635437E8;,999.0;57.02;
243,5503,1,4,5498,2089,11928239,11911788,275113281,0.981283,FALSE,1,Qe05951,982318,>>,802235,831455,922544,902378,982318,953129,957521,746697,820933,923007,792036,917979,767514,877814,927493,831167,668775,730539,887051,752546,843295,935381,236403,245439,497039,824119,<<,2.75113281E8;7.47234375E8;3.97186157E8;3.93138794E8;,999.0;285.71;192.45;125.56;
244,5525,1,4,5528,2102,11990516,11952300,175060883,0.976989,FALSE,1,Qe05955,2102113,>>,881197,834449,1574754,1155371,1101399,1356816,1538324,1209226,2102113,1563726,908298,1230137,1099925,25256.53,23340.4,675596,646594,649189,24705.19,554736,23773.18,646720,337213,26724.5,268501,813224,<<,1.75060883E8;5.29156128E8;1.76064133E8;5.30161682E8;,999.0;396.61;81.99;81.44;
246,5547,1,3,5539,2106,12011270,11986179,243171021,0.96647,FALSE,1,Qe05966,1450468,>>,471809,448521,25925.97,23124.45,1040179,855121,225072,68383,1382929,1043005,471041,134722,73226,23352.85,26058.49,579087,83288,26033.43,1450468,848730,26266.91,1147370,23747.6,281963,416374,432343,<<,2.43171021E8;2.44174652E8;5.97264587E8;,999.0;137.24;85.26;
247,5551,1,10,5550,2112,12037564,12016552,337092468,0.999954,FALSE,1,Qe05970,1.03E+07,>>,6988605,5940569,5707885,6242227,6164710,5939298,5958092,6027686,5237271,6485024,6521401,6005116,5689871,5553331,6079807,5928575,5029369,5313201,6173047,5664777,6165454,7046436,1.03E+07,9072786,1.01E+07,5962971,<<,3.37092468E8;3.38095825E8;6.91187195E8;6.92190491E8;3.39097443E8;4.27087921E8;4.05079407E8;5.77285889E8;6.93194641E8;6.75193298E8;,999.0;176.53;96.03;35.91;28.85;19.52;15.51;14.58;11.18;5.29;
248,5563,1,2,5565,2114,12044647,11900033,707181824,0.999767,FALSE,1,Qe05965,4185713,>>,4185713,23903.02,23584.62,23372.44,24777.24,27037.28,26701.25,23757.86,26357.94,22979.31,25956.48,23490.44,24467.71,26309.4,27281.57,25330.7,25573.41,23248.03,25015.89,3659906,25847.06,22619.79,22733.56,24455.48,23327.73,3341226,<<,7.07181824E8;7.08185242E8;,999.0;366.41;
250,5587,1,2,5592,2129,12119012,12092508,257066559,0.993746,FALSE,1,Qe05970,95664,>>,25565.21,25167.51,23191.48,27266.31,25762.43,27236.91,24162.91,24035.39,24037.91,24562.69,24934.45,24601.4,26692.57,24061.17,27425.05,23992.94,27067.65,27211.7,23282.66,23665.7,24826.62,26618.74,95664,79760,69939,25732.06,<<,2.57066559E8;5.16142578E8;,999.0;993.28;
253,5639,1,8,5645,2152,12228364,12200918,248095734,0.998238,FALSE,1,Qe05969,5594962,>>,3982169,3230724,4491430,5430988,4462695,4390915,4197236,4767699,4079111,5280703,3713360,3927476,4746839,3779688,4000765,3710485,3650556,3443311,3799612,3762520,3913440,5594962,424184,757288,548399,3585365,<<,2.9208551E8;2.48095734E8;2.93088776E8;2.49099136E8;1.19053223E8;5.85178589E8;2.94079437E8;6.49184937E8;,999.0;937.98;126.88;100.41;47.32;40.79;40.08;20.75;
254,5689,1,3,5689,2168,12298985,12250953,646180115,0.999955,FALSE,1,Qe05950,4094232,>>,3035544,2767334,3464427,4094232,3390402,3368042,3803227,3479098,3033600,3884292,2656439,3016806,3017740,2976567,3016632,2888616,2198542,2595372,2840226,2820258,2797573,3695796,340579,575754,471438,2783133,<<,6.46180115E8;6.47181213E8;6.48181702E8;,999.0;299.62;104.86;
256,5788,1,2,5788,2210,12481545,12449160,662180359,0.999955,FALSE,1,Qe05972,302808,>>,96603,82639,23733.01,23725.14,81635,26992.96,25506.87,77952,25189.72,104368,23421.01,23104.26,24943.05,26264.92,99410,27328.7,24072.86,26857.1,22701.64,111572,27140.83,25541.98,285379,257919,302808,62177,<<,6.62180359E8;3.85112762E8;,999.0;466.42;
257,5846,1,4,5847,2249,12650050,12639471,1061276123,0.962456,FALSE,1,Qe05971,3.01E+07,>>,2.80E+07,2.70E+07,2.64E+07,2.73E+07,2.96E+07,2.84E+07,2.78E+07,2.68E+07,2.47E+07,2.79E+07,2.48E+07,2.53E+07,2.63E+07,2.76E+07,2.50E+07,2.64E+07,2.58E+07,2.74E+07,2.81E+07,2.51E+07,2.57E+07,2.64E+07,2.98E+07,3.01E+07,2.77E+07,2.78E+07,<<,1.061276123E9;7.091875E8;1.062279419E9;7.10190002E8;,999.0;861.75;524.23;209.8;
258,5895,1,3,5895,2275,12765916,12742190,353087280,0.999955,FALSE,1,Qe05971,5.44E+08,>>,4.36E+08,4.16E+08,4.01E+08,4.01E+08,4.17E+08,3.97E+08,4.21E+08,3.91E+08,3.82E+08,4.06E+08,4.04E+08,4.17E+08,3.87E+08,3.95E+08,4.01E+08,4.13E+08,3.67E+08,4.01E+08,4.20E+08,4.01E+08,4.08E+08,3.95E+08,4.80E+08,5.44E+08,4.75E+08,4.25E+08,<<,3.5308728E8;3.54090393E8;7.50185974E8;,999.0;177.0;0.1;
259,5921,1,3,5918,2286,12813604,12757409,530134583,0.995644,FALSE,1,Qe05948,2.23E+07,>>,1.68E+07,2.23E+07,1.93E+07,2.16E+07,2.15E+07,1.96E+07,2.17E+07,1.84E+07,1.78E+07,1.96E+07,1.78E+07,1.73E+07,1.63E+07,1.79E+07,1.79E+07,1.63E+07,1.55E+07,1.64E+07,1.48E+07,1.72E+07,1.64E+07,1.55E+07,1.90E+07,1.96E+07,1.82E+07,1.65E+07,<<,5.30134583E8;5.31137573E8;5.31639526E8;,999.0;186.05;37.33;
260,5943,1,2,5952,2299,12867591,12864163,181050201,0.979918,FALSE,1,Qe05966,752087,>>,193644,163030,85358,26901.12,613243,211020,119317,25940.77,734510,315468,156332,97406,190089,83844,84457,299643,26481.07,94458,752087,234736,22930.86,304616,101770,26322.56,83154,166736,<<,1.81050201E8;5.60178589E8;,999.0;459.9;
262,5972,1,7,6007,2304,12889273,12855587,396092407,0.959376,FALSE,1,Qe05971,702538,>>,569878,420971,382305,384719,433559,430494,491698,225959,393801,438718,460418,417973,421859,427268,517946,489097,435111,489040,526194,491366,531771,489958,632242,702538,649943,518674,<<,6.09168335E8;3.96092407E8;2.5408963E8;5.63161926E8;6.10171082E8;5.81172852E8;6.08179749E8;,999.0;837.17;462.8;453.1;267.36;166.42;72.87;
263,6016,1,7,6016,2305,12893621,12881554,307081848,0.999955,FALSE,1,Qe05968,2840766,>>,2560685,2417079,2623389,2635328,2518969,2501793,2390955,2576978,2662188,2670597,2504643,2630412,2672584,2687418,2711227,2780750,2762739,2746968,2804302,2633090,2840766,2733065,1836584,1912541,1934765,2428819,<<,3.07081848E8;4.33207458E8;4.21075226E8;3.0808606E8;3.06074127E8;3.6706662E8;3.41044189E8;,999.0;260.72;251.25;242.19;229.73;187.26;63.88;
264,6081,1,2,6074,2318,12950298,12836330,453010040,0.954646,FALSE,1,Qe05948,828100,>>,207501,828100,532212,462043,399400,396699,288220,334931,342765,319314,312445,299190,331741,297229,297264,290788,240488,299596,208550,225521,244049,247196,157655,157435,215431,226256,<<,4.5301004E8;4.71024017E8;,999.0;539.89;
265,6102,0.994198,4,6102,2334,13018694,12993212,707181885,0.988385,FALSE,1,Qe05971,1.93E+08,>>,1.03E+08,9.16E+07,6.44E+07,6.72E+07,7.06E+07,6.55E+07,7.84E+07,6.64E+07,5.45E+07,6.91E+07,8.55E+07,7.32E+07,6.22E+07,7.06E+07,7.38E+07,6.77E+07,5.58E+07,6.61E+07,7.24E+07,7.05E+07,6.98E+07,6.76E+07,1.86E+08,1.93E+08,1.83E+08,9.67E+07,<<,7.07181885E8;7.08185242E8;7.091875E8;1.79034271E8;,999.0;357.74;97.9;12.39;
267,6156,1,2,6156,2352,13096383,12953645,1061276367,0.999955,FALSE,1,Qe05952,3159792,>>,23995.75,23402.95,25246.74,24756.9,25763.89,3159792,25973.26,2678804,24571.05,26845.52,24862.99,23667.98,2594949,2856003,26268.01,25492.5,26559.21,22946.33,23350.12,26417.13,24363.98,23642.3,23076.76,27407.95,26386.64,26007.53,<<,1.061276367E9;1.062280029E9;,999.0;474.23;
268,6164,1,3,6152,2350,13084394,13081535,1239830688,0.974175,FALSE,1,Qe05971,738745,>>,200391,26627.5,97429,91871,91220,73323,24756.84,94358,25681.21,82968,178454,107234,63543,76984,86908,82601,22873.59,92602,116778,90207,24136.56,82044,674416,738745,680788,154663,<<,1.239830688E9;7.19178284E8;1.240330566E9;,999.0;679.26;372.24;
271,6220,1,7,6225,2374,13196735,13172716,425166138,0.999766,FALSE,1,Qe05951,1.13E+07,>>,8056775,8109473,9775051,9653288,1.13E+07,9873663,1.13E+07,9453675,9983954,1.09E+07,7478167,1.13E+07,8891893,1.12E+07,1.02E+07,1.09E+07,8656198,9924830,1.11E+07,1.04E+07,9754655,1.03E+07,329266,599221,395781,8478930,<<,4.25166138E8;4.26169464E8;3.79160156E8;4.27171478E8;5.43246582E8;4.69153076E8;3.80161591E8;,999.0;189.16;96.05;38.03;10.68;7.88;7.7;
272,6243,0.999274,2,6223,2373,13192308,13167321,1076296509,0.992551,FALSE,1,Qe05971,688449,>>,109249,101270,27040.67,26535.02,26444.61,24101.94,23379.54,27118.98,25762.58,25510.9,82318,23689.12,26101.67,22642.36,22745.03,25073.13,26985.23,25155.33,24959.06,23063.08,25636.89,24099.56,454348,688449,548795,102789,<<,1.076296509E9;1.077298828E9;,999.0;365.62;
274,6270,1,8,6270,2391,13272639,13346000,721197632,0.999955,FALSE,1,Qe05971,1.99E+07,>>,5208712,5345202,3189841,2905997,2811068,2711562,3024063,2984897,2088769,2880923,4910925,3034628,2286344,3121975,3129653,3010542,2615238,2868051,3151304,3087776,2843910,2869217,1.70E+07,1.99E+07,1.62E+07,5135640,<<,7.21197632E8;7.22201233E8;3.83097748E8;3.07081757E8;3.84100708E8;7.43180237E8;7.2420752E8;5.3413446E8;,999.0;330.25;155.55;127.72;29.63;15.12;13.09;5.2;
275,6285,0.997516,2,6285,2395,13291196,13285088,330202942,0.994993,FALSE,1,Qe05966,163036,>>,26748.76,24360.9,26878.99,25759.15,111857,65483,26282.51,25873.22,138293,90880,27140.77,25921.51,25413.04,24022.83,24510.91,70412,24973.36,23769.22,163036,83934,23857.96,107777,27049.23,24860.19,23445.75,26766.8,<<,3.30202942E8;6.31249512E8;,999.0;932.3;
276,6289,1,3,6289,2396,13295858,13268338,457192017,0.999955,FALSE,1,Qe05958,951056,>>,292980,323023,546710,80940,678390,108290,926781,236279,22650.59,25503.36,309165,951056,265460,600693,147877,524109,90883,707849,24000.07,82108,135056,27383.59,276320,25697.94,217422,266768,<<,4.57192017E8;4.58196014E8;1.3107106E8;,999.0;209.34;102.94;
277,6291,1,2,6277,2393,13281925,13174755,145050827,0.964018,FALSE,1,Qe05948,75102,>>,26768.49,75102,63738,25151.58,26445.35,22843.1,59352,26117.94,25861.1,23060.87,71605,24494.85,24900.71,26058.14,22943.45,26132.15,23077.79,23668.03,22967.48,26314.3,24078.83,23690.47,26806.16,23054.28,24144.14,27382.78,<<,1.10035744E8;1.45050827E8;,999.0;757.24;
278,6304,0.982044,2,6310,2406,13342985,13377183,1089307495,0.963251,FALSE,1,Qe05971,134359,>>,27437.44,25945.32,25548.77,26323.79,27309.46,23408.05,26940.01,25003.02,26966.45,23948.03,24720.75,24438.29,27304.93,22738.18,24342.28,26608.27,25722.61,25571.21,26423.86,26129.66,24758.49,23610.85,109716,134359,108049,24863.69,<<,1.089307495E9;6.74181335E8;,999.0;788.79;
280,6317,1,3,6306,2406,13342985,13322014,277155273,0.99154,FALSE,1,Qe05966,2142658,>>,583372,607615,23300.75,26229.16,1413429,1098019,343842,92348,1830888,1340208,544194,160612,89061,23057.82,25401.76,789674,95960,60873,2142658,1149694,57862,1412199,23272.67,247253,308186,559182,<<,2.77155273E8;2.78158997E8;3.00192291E8;,999.0;164.71;97.05;
281,6328,1,5,6327,2415,13385783,13359055,557244507,0.986189,FALSE,1,Qe05961,1744672,>>,928853,836471,1483763,1432845,708863,777009,1455883,1487313,66825,315725,777925,26227.38,1192310,1698817,1744672,1167281,1353817,1706803,93049,27392.41,1664537,58450,27206.51,22933.83,26457.59,950146,<<,5.57244507E8;5.93244385E8;5.58247681E8;5.94247864E8;5.59249268E8;,999.0;742.06;237.41;217.44;66.09;
284,6350,1,24,6354,2426,13441806,13430758,367102875,0.997855,FALSE,1,Qe05971,1.44E+08,>>,5.72E+07,5.27E+07,2.97E+07,3.17E+07,2.82E+07,2.85E+07,3.01E+07,3.02E+07,2.48E+07,3.01E+07,5.39E+07,3.22E+07,2.54E+07,3.10E+07,3.26E+07,3.10E+07,2.92E+07,3.31E+07,3.30E+07,3.12E+07,3.34E+07,3.14E+07,1.21E+08,1.44E+08,1.28E+08,5.19E+07,<<,3.67102875E8;3.68106171E8;3.69107941E8;7.3621698E8;4.57098755E8;7.23204834E8;1.93049637E8;4.35090302E8;7.37211487E8;4.58102692E8;6.75192627E8;7.57194519E8;4.36094574E8;4.51064148E8;7.38223267E8;2.730979E8;4.65068695E8;4.83072479E8;7.58199524E8;4.6702951E8;6.76195251E8;4.55074493E8;4.13108307E8;7.59168152E8;,999.0;189.94;33.75;27.67;11.91;11.47;11.35;9.26;7.66;2.62;2.56;2.46;2.01;1.67;1.44;1.39;1.04;0.99;0.85;0.72;0.69;0.61;0.52;0.5;
285,6371,1,3,6371,2427,13446571,13445776,597193237,0.999955,FALSE,1,Qe05960,1973272,>>,1544519,1485480,1676632,1966667,1707034,1373462,1869064,1373195,1236329,1477621,1485432,1509834,1344837,1973272,1815679,1351980,1280500,1670081,1413817,1198766,1549429,1261386,816274,1057602,1088458,1586184,<<,5.97193237E8;5.98196228E8;5.99197998E8;,999.0;292.16;59.96;
287,6397,1,5,6395,2439,13499531,13168145,355092316,0.995457,FALSE,1,Qe05971,1.27E+07,>>,681526,26851.15,25689.95,23687.3,26537.92,25972.34,22752.12,22744.99,26917.02,22727.79,9606248,25783.47,23886.5,23667.37,25352.87,25226.93,25188.85,22934.28,26273.97,23048.01,26505.53,26276.55,1.25E+07,1.27E+07,1.25E+07,24088.82,<<,3.55092316E8;3.8309787E8;6.73175781E8;5.31112427E8;6.43213074E8;,999.0;112.73;15.2;7.25;5.92;
288,6416,1,3,6416,2446,13534154,13512111,229097870,0.999955,FALSE,1,Qe05953,636803,>>,228324,189357,302723,108199,464932,111975,636803,118731,244782,105952,205112,472335,103482,318474,117847,255574,79984,385572,338683,98210,93083,105242,26978.22,25972.07,24108.2,218554,<<,2.2909787E8;3.1510791E8;2.30101563E8;,999.0;533.44;136.68;
289,6423,0.989795,4,6423,2452,13564783,13521261,273097717,0.97965,FALSE,1,Qe05970,1373149,>>,294930,287412,144986,151367,154402,146889,160577,134126,140974,136926,301101,135326,115408,133642,162386,126146,107295,103639,138616,130363,127723,146412,1373149,688340,1230617,215728,<<,2.73097717E8;3.85113647E8;2.74101776E8;3.15053802E8;,999.0;168.25;130.48;115.19;
290,6442,1,6,6442,2464,13630217,13613791,275103455,0.999955,FALSE,1,Qe05970,6548178,>>,1210298,1119684,599114,752687,574813,601595,493397,758342,491798,555205,1186502,377972,486621,431863,673289,513328,551240,445354,528563,543027,664207,515207,6548178,3137186,3088600,1009424,<<,2.75103455E8;2.7610675E8;3.84101563E8;6.29198669E8;3.43090729E8;6.36138611E8;,999.0;152.06;45.89;44.75;20.22;13.78;
291,6444,1,4,6435,2462,13619473,13485564,416083160,0.996561,FALSE,1,Qe05951,488741,>>,387119,478689,471454,460018,488741,475670,460877,464602,445618,432174,428191,431089,478418,422944,417956,424114,457902,437791,393847,404344,423382,393001,329498,297115,308347,415452,<<,4.1608316E8;3.91062286E8;3.90067383E8;4.17086792E8;,999.0;280.47;172.43;112.23;
293,6462,1,2,6461,2477,13696571,13686744,332125000,0.994883,FALSE,1,Qe05966,832511,>>,329191,327728,150112,180126,425334,382487,168094,126315,538920,564978,314871,227327,134208,176542,174349,433099,132563,172406,832511,703924,149703,693429,24399.65,24733.87,22533.09,305441,<<,3.32125E8;3.3312854E8;,999.0;179.83;
295,6488,1,15,6480,2484,13730009,13713182,441161102,0.999687,FALSE,1,Qe05956,1.31E+07,>>,9462574,8884351,1.10E+07,1.22E+07,1.12E+07,1.18E+07,1.13E+07,1.29E+07,9435001,1.31E+07,8396519,9389433,1.14E+07,9207575,1.16E+07,9097439,9362348,9381083,8702721,1.00E+07,1.10E+07,1.06E+07,350793,376331,747056,9206211,<<,4.41161102E8;4.71171478E8;4.42164368E8;4.72174927E8;4.4316626E8;3.95155396E8;5.09148346E8;4.25165894E8;4.85150665E8;4.73176636E8;2.93087463E8;4.61143463E8;7.50254089E8;5.39158447E8;3.96158508E8;,999.0;327.47;193.37;67.52;42.51;36.39;22.51;19.6;15.27;15.13;13.16;11.54;8.93;8.48;7.45;
297,6507,1,6,6516,2497,13797950,13756819,533128845,0.968697,FALSE,1,Qe05970,1264683,>>,565573,719988,433770,238486,611547,512215,507693,259319,472289,550731,588439,461152,332021,359519,192659,504891,196691,328614,673147,637708,208905,587353,1264683,1021428,1127657,555323,<<,5.33128845E8;5.34132202E8;3.12054626E8;2.80081757E8;2.20061768E8;2.68065033E8;,999.0;269.22;202.52;71.59;67.98;63.52;
298,6511,1,3,6514,2496,13792890,13739504,719182373,0.971196,FALSE,1,Qe05955,337172,>>,161795,149588,126934,60341,251611,124818,257200,25867.59,337172,246434,150535,139946,23580.09,164459,73087,141090,25526.74,89208,270361,124930,22790.57,186923,121198,143048,170157,156727,<<,7.19182373E8;2.46098099E8;6.0520813E8;,999.0;860.69;604.75;
299,6527,1,4,6527,2501,13818269,13801010,261087555,0.999955,FALSE,1,Qe05962,2318538,>>,2315245,2063313,2040810,2020188,2197538,2011623,2256318,2157445,1619276,2017805,1983174,2139991,1958092,1927732,1964240,2318538,1965572,2168804,2295103,2088549,2163186,2119387,1146519,1767970,1184201,2132195,<<,2.61087555E8;3.05077637E8;2.62091309E8;3.06081451E8;,999.0;311.14;135.42;42.77;
300,6540,1,11,6537,2507,13848856,13839702,179034821,0.998712,FALSE,1,Qe05970,7.11E+07,>>,4.01E+07,3.94E+07,2.05E+07,9858431,4.75E+07,3.53E+07,2.81E+07,9870790,5.51E+07,5.40E+07,3.89E+07,2.99E+07,2.00E+07,2.16E+07,8427304,3.68E+07,8651036,1.79E+07,6.97E+07,5.40E+07,9575751,5.73E+07,7.11E+07,4.87E+07,6.61E+07,3.60E+07,<<,1.79034821E8;1.80038055E8;3.59076874E8;1.35044983E8;3.60080231E8;2.47022064E8;2.15011414E8;2.69029907E8;2.17008575E8;3.6108252E8;4.85119659E8;,999.0;98.42;45.71;31.81;9.02;7.83;5.64;5.36;1.76;1.71;1.65;
301,6571,1,2,6571,2528,13957075,13935766,316166290,0.999955,FALSE,1,Qe05966,839108,>>,237638,233743,24374.22,26589.74,498999,366317,89911,26489.36,600044,507986,219690,62899,22636.47,24193.91,22501.41,314845,24594.69,26166.27,839108,462070,26016.96,480043,22883.19,23130.23,74203,202035,<<,3.1616629E8;3.17169708E8;,999.0;201.28;
