clusterId1,centrotype,cent.factor,nr of peaks in cluster,chosen peak#,Scan Nr,retention,retentionMean,Mass(uD),membership1,simIsShared,sim ranking of peak,max sample name,max value,QUANT_START,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,QUANT_END,mass list,(relative)intensity list
21,916,1,32,895,270,1671623,1665042,229059113,0.974738,FALSE,1,Qe05966,3378338,>>,1372839,1403270,561042,415161,2268379,1835509,915035,444682,2902687,2481984,1418234,770585,489501,556586,420490,1709380,492822,562941,3378338,2505073,482164,2782712,875746,751394,651205,1326082,<<,2.29059113E8;1.54061874E8;3.96981598E8;4.80943512E8;3.13020538E8;2.38023209E8;5.64904907E8;6.48865967E8;7.328255E8;4.82940857E8;5.66900696E8;3.98979309E8;3.72046021E8;8.16789368E8;3.21984039E8;9.00749268E8;7.34824097E8;4.56007141E8;8.18787659E8;6.50863098E8;9.02746521E8;9.84713318E8;3.15018524E8;4.75073639E8;3.97984192E8;9.86711121E8;4.81947144E8;3.16114044E8;8.51701538E8;6.57830566E8;7.67737732E8;9.3566095E8;,999.0;730.23;474.62;364.57;355.37;347.06;269.1;204.89;137.44;110.22;105.66;101.55;97.64;96.72;83.16;76.4;72.25;70.27;63.14;63.06;56.1;55.75;52.76;48.54;47.93;43.53;43.51;36.52;32.55;30.9;27.8;23.14;
25,1128,1,91,1232,286,1742819,1733646,296881714,0.971939,FALSE,1,Qe05949,3.24E+07,>>,2.79E+07,3.05E+07,3.24E+07,3.10E+07,2.72E+07,2.74E+07,2.99E+07,2.97E+07,2.59E+07,2.71E+07,2.74E+07,2.83E+07,2.90E+07,2.74E+07,2.95E+07,2.67E+07,2.68E+07,2.84E+07,2.43E+07,2.52E+07,2.82E+07,2.34E+07,2.86E+07,3.00E+07,3.03E+07,2.87E+07,<<,2.96881714E8;3.80842987E8;4.64804321E8;5.48765625E8;6.32726685E8;3.82841278E8;7.16687805E8;4.66802704E8;2.98879669E8;5.50763916E8;6.34725159E8;7.18686462E8;8.00649292E8;8.02647705E8;8.84610229E8;8.8660907E8;9.68572266E8;9.70570557E8;8.01650024E8;3.81846527E8;2.9788501E8;8.85610779E8;7.17688843E8;1.052532471E9;5.52762451E8;4.65807892E8;5.49768738E8;7.58668335E8;6.36723938E8;4.68801056E8;1.054531128E9;8.04646118E8;7.2068512E8;3.84839478E8;8.88607361E8;8.44628723E8;9.69572083E8;9.72569031E8;9.27590088E8;9.28589539E8;6.757052E8;8.03648682E8;7.19687927E8;8.87609741E8;5.51767883E8;1.222453979E9;1.053533325E9;1.011550964E9;6.35727844E8;3.00877716E8;9.26591736E8;4.67805603E8;1.137494019E9;1.055532227E9;7.60168335E8;7.61667053E8;1.140490967E9;8.02150024E8;1.096511963E9;1.306412109E9;1.013549255E9;8.01149414E8;1.139490967E9;1.179471436E9;8.06643982E8;7.6116748E8;1.223452881E9;1.012054382E9;6.76206848E8;8.89609924E8;1.094514404E9;1.264437012E9;1.013051941E9;1.055033569E9;9.71070679E8;1.054033936E9;1.305418701E9;1.058528809E9;1.181471191E9;1.263434448E9;6.77704956E8;9.69073853E8;9.30591492E8;8.46636719E8;1.308411133E9;1.178473999E9;1.307411865E9;1.26543335E9;7.6216803E8;1.014550354E9;1.057531006E9;,999.0;977.85;631.48;468.57;307.16;289.02;235.93;233.52;220.34;214.54;160.03;150.78;137.68;107.54;101.68;85.8;76.55;73.64;65.01;60.05;49.12;48.27;46.89;43.88;43.12;43.08;40.16;38.25;37.52;37.25;36.38;36.27;35.48;32.37;25.77;25.56;25.49;25.12;24.93;21.75;20.59;20.57;20.25;18.25;18.16;17.45;16.41;16.39;16.37;16.29;14.75;12.75;11.2;10.52;10.49;9.68;9.55;9.47;9.44;8.54;8.35;6.9;6.81;6.32;5.65;5.52;5.18;4.98;4.64;4.24;4.19;4.15;4.05;3.75;3.49;3.47;3.46;3.41;3.36;3.34;3.33;3.23;3.2;3.12;2.94;2.89;2.56;2.47;2.44;2.24;2.15;
27,1333,1,8,1343,294,1781959,1773665,613909241,0.976766,FALSE,1,Qe05956,516081,>>,397639,372307,463997,456446,366252,452044,475867,393856,441217,516081,387731,437593,385675,405684,407726,340074,311078,376259,335673,384579,372861,426752,394679,341021,315933,401828,<<,6.13909241E8;7.81832153E8;8.65792664E8;9.49755432E8;6.15908142E8;6.97871216E8;1.033717041E9;6.99870422E8;,999.0;757.03;737.44;407.72;405.58;339.35;260.23;133.53;
28,1358,1,30,1374,296,1791047,1779287,186017090,0.950394,FALSE,1,Qe05958,606152,>>,248429,199176,396090,25568.36,258227,24364.75,508867,26851.77,24411.39,25410.23,225832,606152,184874,471712,176737,377886,162804,494099,25140.77,26874.76,208468,24260.08,341901,26750.97,26701.08,218103,<<,1.8601709E8;6.05822998E8;4.37901428E8;3.53940002E8;6.89783875E8;7.73744751E8;8.57707886E8;9.41668152E8;7.75742981E8;8.59704773E8;6.07824036E8;9.43669006E8;6.9178125E8;7.8819574E8;8.3017627E8;1.025630371E9;7.46215027E8;1.027629883E9;7.87197693E8;7.45215759E8;9.14138733E8;8.31175598E8;7.89195557E8;8.29176819E8;1.109588989E9;9.561203E8;1.111590454E9;9.98099915E8;8.58707947E8;7.74747498E8;,999.0;756.02;754.59;665.29;615.3;593.85;494.75;413.41;375.52;375.27;358.64;344.41;321.16;308.91;294.28;288.32;249.88;245.62;232.0;212.28;211.69;206.76;198.5;197.79;180.2;178.19;175.13;146.88;144.95;136.17;
30,1450,1,47,1420,299,1804905,1798034,288083313,0.979116,FALSE,1,Qe05969,1482047,>>,672740,798055,294869,23593.86,983349,894056,649731,24293.95,1408050,1330214,747402,434823,25564.99,332364,24083.63,686811,26979.42,229050,1360831,1291521,23718.58,1482047,24483.34,731677,857943,667115,<<,2.30114304E8;1.75072144E8;2.88083313E8;2.17082748E8;2.05082748E8;2.47093262E8;2.02083023E8;2.58181763E8;1.91067154E8;2.18077713E8;2.59033112E8;2.87064545E8;3.01079865E8;2.56130096E8;2.86187988E8;2.16098572E8;1.88067459E8;3.14075348E8;3.42143188E8;2.86044098E8;5.16156799E8;3.38999786E8;2.55038605E8;2.62104034E8;4.00015961E8;3.42994781E8;3.54994659E8;3.40090851E8;3.98037506E8;3.57010559E8;3.71026917E8;3.24984131E8;2.59104034E8;3.70005249E8;3.73005157E8;4.26104156E8;3.68097534E8;2.59185669E8;3.58989441E8;4.22961914E8;3.70150391E8;3.96020996E8;4.38955933E8;4.81999023E8;4.54989105E8;3.40979767E8;3.43209106E8;,999.0;875.9;843.18;819.96;586.79;550.35;507.55;496.53;474.22;409.82;368.72;333.31;298.49;281.73;267.45;262.66;237.01;219.71;203.97;166.96;148.24;142.13;138.94;133.51;133.01;119.92;98.67;98.09;91.75;91.5;90.89;89.87;81.93;80.38;79.55;78.37;76.69;75.29;71.2;68.09;63.04;59.05;59.05;54.28;52.75;52.73;46.17;
33,1485,1,2,1489,304,1828290,1823035,382929596,0.9589,FALSE,1,Qe05960,1052389,>>,25240.06,23546.2,23502.34,945778,26381.97,23595.12,26904.97,790415,495232,23119.78,24598.16,27476.06,687639,1052389,23691.79,26975.8,685358,959310,655429,26490.82,835376,484904,26714.7,26416.48,23261.55,22677.03,<<,3.82929596E8;3.39924011E8;,999.0;168.77;
34,1523,1,4,1523,307,1841957,1831715,229022903,0.999955,FALSE,1,Qe05959,1625751,>>,1224113,1323635,1353963,1174938,1103108,1188373,1199823,1235627,1034040,1264971,1141327,1295566,1625751,1119280,1209760,986700,846287,1045004,1040999,1334007,1273347,1043499,980836,25972.42,24412.77,1282476,<<,2.29022903E8;3.12984192E8;3.96945526E8;3.99032074E8;,999.0;240.35;151.31;81.24;
36,1601,1,6,1573,309,1846453,1838009,236114777,0.966653,FALSE,1,Qe05970,2146425,>>,822496,618594,425983,446420,465609,452634,466734,455074,355530,431352,677219,528671,434112,452609,456102,451340,363305,497584,378105,437196,481696,404612,2146425,1572108,1543894,577878,<<,2.36114777E8;3.50156952E8;3.18070526E8;2.82120483E8;3.34125E8;3.61102692E8;,999.0;300.5;125.0;102.99;100.37;51.26;
38,1645,1,18,1754,315,1872915,1868209,711218994,0.966997,FALSE,1,Qe05949,6896890,>>,3445302,3172101,6896890,5751313,1653226,2534962,4287976,5905962,203845,26894.43,3163982,3785093,5235250,4161199,6297011,2427824,5044331,4983625,149615,978470,5867216,378875,4859479,5933426,4347793,3468232,<<,7.11218994E8;7.95180359E8;6.65213013E8;7.7025592E8;6.33127441E8;7.13224487E8;5.57123657E8;8.81227478E8;7.96183899E8;7.71259583E8;7.19176575E8;9.67276306E8;8.54217957E8;6.41081482E8;8.8223114E8;9.65190063E8;9.40265076E8;6.14068481E8;,999.0;162.32;138.61;127.67;103.84;86.66;79.69;67.29;45.75;39.54;35.84;31.6;26.38;24.31;21.52;17.56;16.55;9.53;
39,1653,1,61,1648,312,1859755,1854230,104034996,0.988171,FALSE,1,Qe05955,1.66E+07,>>,1.21E+07,1.16E+07,9732003,8159596,1.58E+07,1.27E+07,1.15E+07,8224405,1.66E+07,1.54E+07,1.22E+07,1.18E+07,8107555,1.07E+07,8804636,1.38E+07,8036689,8509843,1.54E+07,1.40E+07,8540555,1.49E+07,1.11E+07,9781646,8008584,1.07E+07,<<,1.04034996E8;2.17118973E8;1.18050774E8;2.03103439E8;2.03067047E8;2.88059662E8;2.39089432E8;2.53105179E8;2.84135803E8;2.36077255E8;2.61072113E8;2.18122391E8;2.19098297E8;2.60088318E8;2.36088608E8;2.67145569E8;2.66100006E8;1.05038406E8;3.22162598E8;2.65093567E8;2.43098145E8;2.01087891E8;2.90135071E8;3.52173798E8;3.04114899E8;2.47056808E8;1.88111954E8;3.19161255E8;3.32109161E8;2.61049103E8;2.50104294E8;1.19054047E8;3.65155945E8;2.90099426E8;2.04106903E8;3.31161621E8;3.73112701E8;2.80116119E8;3.74131744E8;1.71077362E8;3.60118225E8;2.6012442E8;3.49172577E8;3.48103943E8;4.16107483E8;2.58108765E8;3.64172089E8;4.15122681E8;3.5320343E8;4.16189056E8;1.71040771E8;3.7307608E8;2.01051392E8;2.54108765E8;2.62086395E8;4.31188354E8;4.21085388E8;2.06066803E8;3.59156342E8;3.20109589E8;4.31057709E8;,999.0;614.1;482.74;243.91;127.91;89.76;81.38;75.16;68.7;63.89;61.71;57.33;53.47;43.46;43.35;40.12;35.07;34.1;32.77;32.4;31.28;31.21;28.25;26.19;25.92;25.61;24.06;23.77;23.67;22.91;22.08;20.95;20.32;19.73;19.61;18.23;16.14;15.71;15.4;14.02;12.17;12.01;11.97;11.92;11.9;11.75;10.82;10.54;9.22;8.94;8.86;8.3;8.03;7.82;7.68;6.88;6.78;6.48;5.78;5.75;4.43;
